,deaths
0,676
1,862
2,1102
3,1333
4,1698
5,1997
6,2317
7,2611
8,3030
9,3532
10,4414
11,5398
12,6520
13,7574
14,8093
15,8926
16,10343
17,10887
18,12228
19,13215
20,13851
21,14412
22,14986
23,15731
24,17169
25,17922
26,18683
27,19325
28,19720
29,20267
30,20798
31,21342
32,21858
33,22248
34,22617
35,22859
36,23296
37,23663
38,24090
39,24379
40,24597
41,24763
42,24900
43,25204
44,25537
45,25812
46,25990
47,26233
48,26313
49,26383
