,recovered
0,72362
1,72814
2,73280
3,73773
4,74181
5,74720
6,75100
7,75582
8,75923
9,76206
10,76405
11,76565
12,76760
13,76946
14,77207
15,77310
16,77410
17,77567
18,77679
19,77791
20,77877
21,77956
22,78039
23,78200
24,78311
25,78401
26,77552
27,77614
28,77690
29,77745
30,77799
31,77861
32,77983
33,78109
34,78175
35,78277
36,78374
37,78422
38,78474
39,78523
40,78573
41,78586
42,78684
43,78792
44,78870
45,78929
46,78977
47,78993
48,79127
49,79167
