 ,US0.1,US0.2,US0.3,US0.4,US0.5,US0.6,US0.7,US0.8,US0.9
beta,0.7647260971610105,0.795598889784031,0.9457278935984975,0.6839271535426382,0.8908477287959037,0.7868425102485362,0.0,0.7972460565450366,0.29999999924158427
sigma,0.0007705426062097954,0.009590554291617506,0.9803184107396317,0.00013798683262855585,0.0001996234934910365,0.28454905763138,0.0001155689271810286,8.133005800455969e-05,0.5999999988349233
gamma,0.011855301216330286,0.010535637994082697,0.005751561674088537,0.011126675295062309,0.010996055386896275,0.005845596525088725,0.010830961458827143,0.010894815789118894,2.3665732342291564e-05
mu,0.11460331163911135,0.010793169999536207,0.0037101167329153008,0.6041684288925601,0.4130244390627229,0.0037102885938877336,0.9999312405956067,0.9999987887170901,0.7999807990183906
E0,0.1 * 329466283.0,0.2 * 329466283.0,0.3 * 329466283.0,0.4 * 329466283.0,0.5 * 329466283.0,0.6 * 329466283.0,0.7 * 329466283.0,0.8 * 329466283.0,0.9 * 329466283.0
L,0.00043253213699211975,0.00018771568095037158,0.0005004695631314584,0.0002021901159325326,0.00019255991217216413,0.0005019423065415821,0.0001807048844947429,0.00018506355910357283,5.896932931961286
