,confirmed
0,16243
1,20123
2,22622
3,25600
4,29551
5,33402
6,38105
7,40708
8,45170
9,52827
10,57749
11,59929
12,65202
13,69500
14,71412
15,75343
16,79163
17,83057
18,87366
19,91738
20,94863
21,121712
22,125394
23,130365
24,133585
25,146075
26,148084
27,148086
28,153011
29,155393
30,158168
31,155980
32,158303
33,159952
34,161644
35,162220
36,165963
37,169053
38,166543
39,167299
40,167305
41,168518
42,168925
43,169583
44,170687
45,174224
46,174918
47,176202
48,176782
49,177094
