,confirmed
0,59138
1,63927
2,69176
3,74386
4,80589
5,86498
6,92472
7,97689
8,101739
9,105792
10,110574
11,115242
12,119827
13,124632
14,128948
15,132547
16,135586
17,139422
18,143626
19,147577
20,152271
21,156363
22,159516
23,162488
24,165155
25,168941
26,172434
27,175925
28,178972
29,181228
30,183957
31,187327
32,189973
33,192994
34,195351
35,197675
36,199414
37,201505
38,203591
39,205463
40,207428
41,209328
42,210717
43,211938
44,213013
45,214457
46,215858
47,217185
48,218268
49,219070
