,deaths
0,3274
1,3274
2,3281
3,3285
4,3291
5,3296
6,3299
7,3304
8,3308
9,3309
10,3316
11,3322
12,3326
13,3330
14,3333
15,3335
16,3335
17,3337
18,3339
19,3340
20,3343
21,3343
22,3345
23,3345
24,3346
25,3346
26,4636
27,4636
28,4636
29,4636
30,4636
31,4636
32,4636
33,4636
34,4636
35,4637
36,4637
37,4637
38,4637
39,4637
40,4637
41,4637
42,4637
43,4637
44,4637
45,4637
46,4637
47,4637
48,4637
49,4637
