,deaths
0,5476
1,6077
2,6820
3,7503
4,8215
5,9134
6,10023
7,10779
8,11591
9,12428
10,13155
11,13915
12,14681
13,15362
14,15887
15,16523
16,17127
17,17669
18,18279
19,18849
20,19468
21,19899
22,20465
23,21067
24,21645
25,22170
26,22745
27,23227
28,23660
29,24114
30,24648
31,25085
32,25549
33,25969
34,26384
35,26644
36,26977
37,27359
38,27682
39,27967
40,28236
41,28710
42,28884
43,29079
44,29315
45,29684
46,29958
47,30201
48,30395
49,30560
