,recovered
0,2206
1,2206
2,3250
3,3907
4,4955
5,5707
6,5724
7,7226
8,7964
9,9513
10,11053
11,12548
12,14135
13,15572
14,16349
15,17428
16,19523
17,21452
18,23413
19,25195
20,26663
21,27469
22,28001
23,28805
24,30955
25,32812
26,34420
27,35983
28,36578
29,37409
30,39181
31,40657
32,42088
33,43493
34,44594
35,44903
36,45513
37,46886
38,48228
39,49476
40,50212
41,50663
42,50885
43,51476
44,52842
45,54079
46,55191
47,55892
48,56148
49,56327
