,recovered
0,7024
1,7024
2,8326
3,9362
4,10361
5,10950
6,12384
7,13030
8,14620
9,15729
10,16847
11,18278
12,19758
13,20996
14,21815
15,22837
16,24392
17,26491
18,28470
19,30455
20,32534
21,34211
22,35435
23,37130
24,38092
25,40164
26,42727
27,44927
28,47055
29,48877
30,51600
31,54543
32,57576
33,60498
34,63120
35,64928
36,66624
37,68941
38,71252
39,75945
40,78249
41,79914
42,81654
43,82879
44,85231
45,93245
46,96276
47,99023
48,103031
49,105186
