,confirmed
0,81435
1,81498
2,81591
3,81661
4,81782
5,81897
6,81999
7,82122
8,82198
9,82279
10,82361
11,82432
12,82511
13,82543
14,82602
15,82665
16,82718
17,82809
18,82883
19,82941
20,83014
21,83134
22,83213
23,83306
24,83356
25,83403
26,83760
27,83787
28,83805
29,83817
30,83853
31,83868
32,83884
33,83899
34,83909
35,83912
36,83918
37,83940
38,83944
39,83956
40,83959
41,83959
42,83964
43,83966
44,83968
45,83970
46,83975
47,83976
48,83990
49,84010
