,deaths
0,597
1,781
2,1011
3,1320
4,1726
5,2269
6,2899
7,3518
8,4320
9,5531
10,6746
11,8303
12,9587
13,10849
14,12245
15,13894
16,16191
17,18270
18,20297
19,22357
20,24366
21,26086
22,27870
23,30262
24,32760
25,34844
26,37428
27,39775
28,40945
29,42686
30,45086
31,47412
32,49724
33,51493
34,53755
35,54881
36,56219
37,58355
38,60967
39,62996
40,64943
41,66369
42,67682
43,68922
44,71064
45,73455
46,75662
47,77180
48,78795
49,79526
