 ,US0.1,US0.2,US0.3,US0.4,US0.5,US0.6,US0.7,US0.8,US0.9
beta,0.7124215557562013,0.00126228698638486,0.9384862864296144,0.6999999998648979,0.8999999998421871,0.3665350953088068,0.0,0.7990882766566243,0.30017925885017693
sigma,0.08725245027030822,0.9855984876210924,0.6209382111124273,6.549319262245795e-05,0.0001063907140936625,0.9054676125694474,3.6034625214195134e-05,2.5323887025836624e-05,0.6000511916982565
gamma,0.05827294974481745,0.9245660207162182,0.04324088673267283,0.5999999893515718,0.6999999721352618,0.06106971918138775,0.2685488182883152,0.2698558555321958,0.04283510618549663
mu,0.0016393321944577603,0.009096790258907224,0.0019120220283316061,0.6000000016538233,0.4000000143869976,0.008302685910041603,0.9999999649208962,0.9999985336646716,0.0019146024315240965
E0,0.1 * 83783945.0,0.2 * 83783945.0,0.3 * 83783945.0,0.4 * 83783945.0,0.5 * 83783945.0,0.6 * 83783945.0,0.7 * 83783945.0,0.8 * 83783945.0,0.9 * 83783945.0
L,0.02588416201493041,15.16941467888764,0.0010532231504562007,0.05500343008098817,0.08013036542224938,0.28694988816964534,0.00011208413883681942,0.00011077085677595449,0.0010147577587729926
