seed=32,TBPH0,TBPH1,TBPH2,TBPH3,TBPH4,TBPH5,TBPH6
beta,0.021667123720602678,0.30000748975306546,0.3770204460286023,0.6822037841236933,0.8985971722646542,0.8300883314172194,0.3997413509895453
sigma,0.00399461221252808,0.6999990972298127,0.4700128518479542,0.9196446813021237,0.00019498783452575312,0.00034939042240606465,0.2973377315014139
gamma,0.005936687498899007,0.0038374638964400677,0.777604792603364,0.8597212581226326,0.034652881719745635,0.03217882065389789,0.7009540336915339
mu,0.13663401393044772,0.17570191084342035,0.5717388465115572,0.44744303234562227,1.0,0.6006572602931463,0.18745872763428661
E0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
L,0.16184519293765182,1.0669611173655338e-05,2.85676264856624,2.856762122118879,7.034101741373091e-07,6.688261309796964e-07,2.8567629228696245
