seed=1,TBPH0,TBPH1,TBPH2,TBPH3,TBPH4,TBPH5,TBPH6,TBPH7,TBPH8,TBPH9,TBPH10,TBPH11,TBPH12,TBPH13,TBPH14,TBPH15,TBPH16,TBPH17,TBPH18,TBPH19,TBPH20,TBPH21,TBPH22,TBPH23,TBPH24,TBPH25,TBPH26,TBPH27,TBPH28,TBPH29,TBPH30,TBPH31,TBPH32,TBPH33,TBPH34,TBPH35,TBPH36,TBPH37,TBPH38,TBPH39,TBPH40,TBPH41,TBPH42,TBPH43,TBPH44,TBPH45,TBPH46,TBPH47,TBPH48,TBPH49,TBPH50,TBPH51,TBPH52,TBPH53,TBPH54,TBPH55,TBPH57,TBPH58,TBPH59,TBPH60,TBPH61,TBPH62,TBPH63,TBPH64,TBPH65,TBPH66,TBPH67,TBPH68,TBPH69,TBPH70,TBPH71,TBPH72,TBPH73,TBPH74,TBPH75,TBPH76,TBPH77,TBPH79
beta,0.7694156909283705,0.30469411827257836,0.5672773344134645,0.9999952473656533,0.0056286985657115355,0.96999975924613,0.5693422099097106,0.7500366986126067,0.0034749740062840206,0.006427225485590433,0.5400077583251914,0.2625460759427902,0.6998756125333584,0.8596629074736517,0.04032971163760568,0.8201394984118201,0.9197964855605869,0.40787365592739966,0.5392049661252792,0.3689770654929353,0.6399503486761267,0.6083983517457565,0.5282298865031386,0.6893709687758602,0.9399862090007495,0.839887125599022,0.18700712332953073,0.620001352629026,0.008214600950638308,0.745223059369056,0.20591060807738737,0.0017944133529893384,0.6986736271446748,0.4325441224569368,0.3215354181750168,0.9301191287931527,0.9399516317189787,0.9897667000383497,0.025215699405811445,0.6995189873882681,0.618773030256191,0.0,0.9991845540269985,0.7599428350432439,0.2181303373724353,0.1136437289036994,0.8597734765918631,0.5638515421926488,0.3500029469443767,0.7899546822376983,0.062098571946619066,0.6699605398820975,0.8184089594151874,0.8888937720209996,0.1406208796721241,0.4283463156782401,0.22659706810867628,0.2785864041720395,0.017921016175337395,0.8983386565216213,0.6864259551067239,0.6578171726079424,0.8299886950493982,0.7257066299227908,0.5399204657290081,0.15524705109935025,0.06934494350866485,0.9498709925724208,0.32649058896483163,0.008401053358645206,0.5760379277643355,0.7899979359981553,0.2484650053945251,0.724580313492287,0.2181119944048922,0.483534630809809,0.007734893927877367,0.409981728437858
sigma,0.006865590317563621,0.17627858182792788,0.60228290939466,0.2566529774363658,0.4920058498960106,0.979997133896684,0.3409564870068502,0.12966021654470328,0.20493117316688803,0.480003951910085,0.9198447443397548,0.9719274384857521,0.290200537953779,0.2810246844035204,0.0002501195752292602,0.11986176994578931,0.3576051601499888,0.9231024561556757,0.640516093177256,0.3679823328452069,0.5000288809398146,0.31265216495040765,0.8504991250638665,0.8944555900590202,0.46969172901204376,0.6498536218222476,0.66245260068271,0.9299667115321116,0.3951054812766674,0.7404611214022323,0.21362236723627218,0.9800064211899918,0.2922058000622561,0.7322795306631992,0.8436173214195575,0.00020233786157817333,0.6508152215093836,0.7103149031088246,0.6123780381132998,0.2507600479277797,0.45099515712069543,0.6798497585958497,0.780351767132758,0.029967645417682074,0.700484323991148,0.6994136190005966,0.0880703264722266,0.0006866899115420451,0.3108841458399073,0.23007972097418442,0.21404407051705118,0.21020002379032637,0.9106076468079561,0.4116755269158154,0.027995363564942487,0.5298320426567491,0.7744561311338714,0.0008507786217110137,0.9205318058080073,0.6416313058686626,0.28716049168716173,0.570726967159586,0.03044236328563787,0.4154297526951362,0.07043283559560574,0.27056023886864705,0.10603127908722955,0.19988813971594505,0.5318034019146235,0.7510723575009991,0.219170168316119,0.649813961864638,0.4402485143206978,0.8618878520442328,0.6314860223164279,0.3759157064078646,0.41021495080540926,0.7200055237831717
gamma,0.005222355526155902,0.6314251345592209,0.8304831153907535,0.11730684666602412,0.5513483520551361,0.0045631612000975414,0.9202015984312806,0.4004047402681107,0.8287121345367143,0.8688591328287909,0.029572934228610116,0.5651547412505383,0.4399020672513648,0.9695352777810694,0.041340725278990936,0.2302820914477349,0.1501798525748898,0.9125363343070665,0.8501323297899235,0.7452239297391988,0.749982013749654,0.9508319715565005,0.22298620843725356,0.9931540026705846,0.11004264359565541,0.1306176174357964,0.5016290388664759,0.029702155992687416,0.901268403901723,0.503782087033181,0.6404627124268321,0.25212357416530995,0.5104180809421932,0.4537613871122506,0.7046119737087713,0.07326856193764172,0.16030113924553985,0.2605586987085756,0.4636539477197629,0.6395885519063624,0.5289051638371707,0.6891338989107653,0.4211020432035349,0.28881131148819894,0.7402964686539374,0.31982420275182155,0.0978921872170822,0.03481454372286308,0.3417516279668174,0.43984593416782336,0.2022802497195565,0.840383006949499,0.372270249008891,0.6308767130781233,0.3886669673695631,0.2416431986349866,0.5588863955378421,0.49501616287409367,0.20560502373140171,0.8605933684150681,0.8021512606345337,0.28328587947350325,0.5003291000141818,0.8417312954952579,0.9398715122538062,0.06877794633939636,0.3887994951065052,0.5307407720098439,0.0045683777453449795,0.2765861478735577,0.9874628218475371,0.03999467182018853,0.12225805421835494,0.5541892747868812,0.16336492922244447,0.641068690729846,0.7802517580328905,0.999978099436615
mu,0.14071238394707516,0.16524572498141674,0.16565876218766007,0.1650644862435588,0.17116845194672733,0.1698109783455201,0.16525302495194136,0.1651779504126189,0.17110747297729495,0.1710948779234261,0.16512165320545616,0.16779734586497902,0.1651340590179891,0.16497739509150203,0.941623427771488,0.165107408630747,0.16512161947590565,0.16706512081233388,0.16587750783339292,0.16566616201665935,0.16537689551201232,0.1651752593938741,0.16538447658819852,0.16595958605621766,0.16511687049393747,0.16511899593782062,0.16792793253124472,0.1651173293486115,0.17106389746906014,0.16535548569638156,0.165792267334035,0.17128877169196685,0.16513536645826263,0.16610806718252377,0.16729433083805567,0.9992770706213558,0.1651358920881025,0.16513710957154024,0.17068050334774337,0.16503683247069495,0.1653233610125811,0.1714391683028082,0.16520391484029703,0.1651214017474073,0.1679422249206357,0.1686750896844497,0.1651158544465123,0.4033027876750493,0.16544844419917612,0.16511850874684889,0.168020327678919,0.16504467276978882,0.16531319011862347,0.1651499996986868,0.16511359599510408,0.16544856591406848,0.16780039806966138,0.6637963946331127,0.17074061372080784,0.16530302405805028,0.1649004770484863,0.16520835196521572,0.16511014356744863,0.16521844422111337,0.16511666272094797,0.1654301123159565,0.1665662553926094,0.16512020909905914,0.1698109477007468,0.17108389521898756,0.16513530124295298,0.1651171116897678,0.16551804601737155,0.16558209017283398,0.1662093763964671,0.16536480141668097,0.17100351563933144,0.16665606343604394
E0,9846.0,9846.0,9846.0,9846.0,9846.0,9846.0,9846.0,9846.0,9846.0,9846.0,9846.0,9846.0,9846.0,9846.0,9846.0,9846.0,9846.0,9846.0,9846.0,9846.0,9846.0,9846.0,9846.0,9846.0,9846.0,9846.0,9846.0,9846.0,9846.0,9846.0,9846.0,9846.0,9846.0,9846.0,9846.0,9846.0,9846.0,9846.0,9846.0,9846.0,9846.0,9846.0,9846.0,9846.0,9846.0,9846.0,9846.0,9846.0,9846.0,9846.0,9846.0,9846.0,9846.0,9846.0,9846.0,9846.0,9846.0,9846.0,9846.0,9846.0,9846.0,9846.0,9846.0,9846.0,9846.0,9846.0,9846.0,9846.0,9846.0,9846.0,9846.0,9846.0,9846.0,9846.0,9846.0,9846.0,9846.0,9846.0
L,0.0332985182859536,2.8567630441781597,2.856762610150316,2.856762864259671,2.856763172305476,1.5086665411864189e-05,2.8567631503736246,2.8567627013049517,2.856762855866582,2.8567629488354145,2.8567627503621615,2.8567628871408135,2.8567633892639512,2.8567632554653564,1.003495531624891e-06,2.856763198175636,2.8567628222699457,2.8567630512424063,2.8567636669109624,2.8567628390653756,2.856762954007361,2.856763010671429,2.8567628661915556,2.8567630346241133,2.856762882315774,2.856762838250931,2.8567629491137754,2.8567627274601164,2.856763168094084,2.856762911139296,2.8567628574600197,2.8567628776672054,2.8567631254282455,2.8567628304317436,2.8567629724563255,0.08725830527802456,2.8567629090617217,2.856762906022028,2.8567630120216,2.856762940466941,2.8567627606151875,2.85676309641087,2.8567628587291067,2.8567628334116364,2.8567628219106425,2.856763115065255,2.856763029246438,1.0207661517226624e-06,2.8567627766961765,2.856763504928767,2.8567629809244086,2.8567626383407267,2.856762930115476,2.8567628458960024,2.856763375961163,2.856762929405218,2.8567630327562266,0.8034323702061948,2.8567629332859474,2.856763271386313,2.856763076009269,2.856762916474217,2.8567630779267397,2.8567632310438733,2.8567626373181008,2.8567628312671762,2.8567625273629758,2.856763078903149,1.512119290019385e-05,2.8567630538037454,2.8567627533073057,2.8567628855748075,2.8567629121431044,2.85676283093513,2.856762853017256,2.8567629576715277,2.856762693465104,2.8567630538672186
