seed=1,TBPH0,TBPH1,TBPH2,TBPH3,TBPH4,TBPH5,TBPH6,TBPH7,TBPH8,TBPH9,TBPH10,TBPH11,TBPH12,TBPH13,TBPH14,TBPH15,TBPH16,TBPH17,TBPH18,TBPH19,TBPH20,TBPH21,TBPH22,TBPH23,TBPH24,TBPH25,TBPH26,TBPH27,TBPH28,TBPH29,TBPH30,TBPH31,TBPH32,TBPH33,TBPH34,TBPH35,TBPH36,TBPH37,TBPH38,TBPH39,TBPH40,TBPH41,TBPH42,TBPH43,TBPH44,TBPH45,TBPH46,TBPH47,TBPH48,TBPH49,TBPH50,TBPH51,TBPH52,TBPH53,TBPH54,TBPH55,TBPH56,TBPH57,TBPH58,TBPH59,TBPH60,TBPH61,TBPH62,TBPH63,TBPH64,TBPH65,TBPH66,TBPH67,TBPH68,TBPH69,TBPH70,TBPH71,TBPH72,TBPH73,TBPH74,TBPH75,TBPH76,TBPH77,TBPH78,TBPH79
beta,0.029259899964932647,0.2971788823226675,0.5555259765556637,0.9999999906175984,0.0019030983739041095,0.9700001024700545,0.5653559112067997,0.7500107283270337,0.94447801549958,0.0017149453259756515,0.8818886850292361,0.23721610258265802,0.6991373549694602,0.8583774110464172,0.3933262836785669,0.8199997911980451,0.9199617221177739,0.3906238507789528,0.530463905869649,0.3531627340085915,0.6400002564402153,0.6037040826724296,0.5224685813516134,0.6825060899282981,0.9399894482692783,0.839839642024976,0.14715330309730548,0.6323632949780176,0.002863821363351381,0.7402852810268006,0.18143633292115402,0.0006143300163470077,0.696848528933923,0.4168023854752443,0.30098295786513324,0.9305352334277945,0.9398336923240767,0.9892045546251101,0.00429150765187722,0.6980624764236529,0.6133678906541228,1.1757127892397229e-07,0.9972958402924836,0.7462183226000482,0.19152034004540183,0.11001186276303612,0.8599676558524727,0.5949912995844779,0.34586601607688616,0.7896863919277256,0.010850052949965154,0.6693663392793204,0.8149068949953271,0.8872406922547196,0.0013140099377164183,0.42074228188491575,0.04443050631570128,0.260223429387619,0.0,0.0026892357374174013,0.8938981851998309,0.6839694824918184,0.6549153701207866,0.5804311508117126,0.7214467139910865,0.539840612700794,0.13546644119265627,0.010252172203431883,0.9497906865972037,0.31941545874566385,0.002535247419817539,0.5728713664672026,0.7928183679588849,0.23607191887771195,0.7182101214506863,0.2014718220743518,0.47432635235702986,0.0016830532924209049,0.5469750654781849,0.3987236223375741
sigma,0.0006250129291502582,0.18948959872131693,0.6094312120075961,0.2600150867240497,0.49430687281940533,0.980004188182981,0.34696647387033824,0.13004567763160968,0.0017548901700737256,0.48145334533817463,0.9858623842405266,0.9750685360280309,0.29177729856278345,0.2841991624050909,0.0008019910628359095,0.11995755138155727,0.37011771175142794,0.927420476910851,0.646184859930214,0.3810596748531908,0.5000002459140831,0.3203956246051561,0.8511849854278365,0.8977134375732098,0.46998689825819795,0.6499906065923448,0.668416402308296,0.9771461674756792,0.4006438285764526,0.7441138222971143,0.23481787579749713,0.9803691085521962,0.29515685077320214,0.7361663974940852,0.8478014646268229,0.0010236713823566594,0.6500351314440456,0.7103917090433405,0.6154595108737231,0.2543354588648165,0.45598924843797467,0.6800194042412384,0.7814686059981665,0.0008021600384917957,0.706365448055091,0.6999987540371958,0.010095268304481419,0.0008017526801476652,0.313763680063576,0.23071399913204232,0.23533667538624206,0.2119457714639834,0.9113987604037297,0.414049514419781,0.000832964427133186,0.533033211071415,0.3478535026033944,0.7699330670685364,0.0008385426941572992,0.9211894291188641,0.6456565805496743,0.29122193898942006,0.5720841710675098,0.0008010412522500189,0.42082533333513505,0.0,0.3517585750751244,0.16233428841574035,0.20074228843980219,0.09880480737951529,0.7521633836724722,0.22647723594260974,0.7501008260828679,0.44222556703419724,0.8641302372864328,0.6328371708642221,0.3845335167887527,0.4141821566327293,0.0008166664745620497,0.7252533173990507
gamma,0.0022970856285275242,0.6321276466645666,0.8330678414630027,0.11981404867156932,0.553006258262447,0.0018188687828298979,0.9202574757619484,0.4000055171973075,0.0034889384038153675,0.8703854287310934,0.001818850374106847,0.5726553298342327,0.4404279166200781,0.9701417092101344,0.003605944300171988,0.22999534741722918,0.15021419530533286,0.9160222533686604,0.8514552795174719,0.7536110067591215,0.7500011263616654,0.9508461678483604,0.23316758820510552,0.9953730514056593,0.10936991003270288,0.13083515757235534,0.5086817798833351,0.0018190747602498428,0.9018695767478361,0.5083515200424785,0.6415610215013667,0.2549743586346662,0.5111904628860072,0.4628037450212455,0.7097861933993379,0.003577314010522882,0.16079391535909504,0.2621107120983256,0.4683277898005573,0.640524424273511,0.5325701192123831,0.690037886079996,0.42388984580499733,0.003605186641005662,0.7423472573197619,0.31999875114952947,0.002763312190532323,0.0036054431271041413,0.3409696483988023,0.4400741164412291,0.21483962832385017,0.8402259021931316,0.37764304546786814,0.6312507535825691,0.0036061028693636656,0.2497585403608299,0.9322194289578839,0.5499801143790308,0.0035997484758949283,0.22359962186886512,0.8621664749695674,0.8009217315775108,0.2876333836399175,0.0036055612703134437,0.8424150713516041,0.9395219476991474,0.0018368445194982936,0.3921545047305781,0.5300565157029855,0.0019019978283423286,0.28511646308618865,0.9908138809884534,0.001821631610458976,0.1406405985763808,0.5590802597099547,0.18637148048804772,0.6436260981593248,0.7809195660373236,0.003603661391859393,1.0
mu,1.0,0.041685450245818816,0.04175148770155755,0.04167557951438981,0.04322536458008747,0.15055944597453408,0.041682750291523095,0.04167975305112902,0.5004169572124185,0.04322912189566309,0.15055944950432504,0.04234455136439096,0.04167451624188256,0.04167563412361931,0.9980343127586917,0.04167553130536741,0.041675625347993225,0.04206573588989113,0.041777529456685364,0.04175230664586466,0.04169872021144718,0.041679082892615016,0.041740068083399536,0.04179589931373928,0.041675530097626534,0.04167589214757156,0.04243708635809327,0.15055960234825386,0.04321386200647971,0.04171606651512266,0.04179792840508485,0.043241797487684176,0.041675955811142286,0.04187156366333489,0.04215416786419749,0.7990292844343849,0.04167595671679016,0.04167832823136443,0.04321301963704853,0.04167618758215082,0.04169190826211977,0.04324603583537858,0.04168605912979343,0.9976398083545619,0.04233862939491923,0.04256480256552223,0.17258122709642593,0.9981637431330509,0.04171155708413248,0.0416771010853667,0.04304090245455431,0.0416767785569738,0.04170919855032898,0.04167743367807799,0.9952298302026636,0.041738016055639135,0.04276338816035242,0.04216689139437865,0.9936722981400602,0.04322620357871758,0.04169093365472428,0.04167655616122943,0.041691396973759176,0.9989843155782673,0.041681516856781994,0.0,0.15055954815438308,0.04299354625222333,0.04167403343761717,0.150559712489897,0.04322680771699758,0.04167587650076404,0.15055943782098052,0.04180010526216428,0.041747240871368836,0.0420251119767743,0.041702389456011395,0.04322854278600755,0.981409232336152,0.041938541088443436
E0,9846.0,9846.0,9846.0,9846.0,9846.0,9846.0,9846.0,9846.0,9846.0,9846.0,9846.0,9846.0,9846.0,9846.0,9846.0,9846.0,9846.0,9846.0,9846.0,9846.0,9846.0,9846.0,9846.0,9846.0,9846.0,9846.0,9846.0,9846.0,9846.0,9846.0,9846.0,9846.0,9846.0,9846.0,9846.0,9846.0,9846.0,9846.0,9846.0,9846.0,9846.0,9846.0,9846.0,9846.0,9846.0,9846.0,9846.0,9846.0,9846.0,9846.0,9846.0,9846.0,9846.0,9846.0,9846.0,9846.0,9846.0,9846.0,9846.0,9846.0,9846.0,9846.0,9846.0,9846.0,9846.0,9846.0,9846.0,9846.0,9846.0,9846.0,9846.0,9846.0,9846.0,9846.0,9846.0,9846.0,9846.0,9846.0,9846.0,9846.0
L,0.06619646801233182,9.282189401640622,9.282189167762324,9.282188670443068,9.2821907512441,1.6854104132093835e-05,9.282189057698194,9.282189952524163,1.5165758650313407e-06,9.282189398045205,1.6854240389736232e-05,9.282188931972296,9.282188971895048,9.282189370566908,2.5461014191769624e-06,9.282188798903974,9.28218902038453,9.282189339926989,9.282189638785226,9.28218959656435,9.282189368267083,9.282189862072718,9.282188920614017,9.282189781589933,9.282188578776688,9.282188912645308,9.282188994257364,1.685257121060229e-05,9.282189216768362,9.282188937333379,9.282189425699176,9.282188919578092,9.282189097738899,9.282188989973756,9.282189109541793,2.2561069815221853e-06,9.282188951582276,9.282188900530281,9.282188980985307,9.282189738133237,9.282189374127807,9.282189208721764,9.282188904729654,2.5431357025145594e-06,9.282189568350715,9.28218888761933,4.951416957482316e-06,2.5444632471831503e-06,9.282188995529381,9.28218900712305,9.282190022348358,9.282189288742682,9.282188933698638,9.282189613741371,2.5578278822844638e-06,9.282188896280207,9.282188085852658,9.282189073470986,2.4909777335817596e-06,9.282188928066203,9.28218937373766,9.282189363262997,9.282188946107246,2.545537120264132e-06,9.282189736957422,9.97036372389766,1.6722089534570503e-05,9.282188679661095,9.28219008700277,1.6267948206407413e-05,9.282188954680079,9.282190061831495,1.683362660066813e-05,9.282188895281848,9.282188910226393,9.282188906486988,9.282189283237628,9.28218938430013,2.5245342780027005e-06,9.28218946845538
