seed=2,TBPH0,TBPH1,TBPH2,TBPH3,TBPH4,TBPH5,TBPH6,TBPH7,TBPH8
beta,0.02166712114345759,0.7642351124676275,0.2928159694603442,0.5618396497459015,0.42956295993679344,0.5215562877031132,0.6399794972644688,0.417558378407,0.45075206235128107
sigma,0.003994618737196721,0.849645584336511,0.7856860485993373,0.7896945914173589,0.8510276579085332,0.5916549460586752,0.33949596350155475,0.6239276670398592,0.691202606121755
gamma,0.005936671713845576,0.8285215562073504,0.3090652074162526,0.9230848844648571,0.6051951282574852,0.7234627110220678,0.040000989209963624,0.4350763405922422,0.3680263474198674
mu,0.13663408404878516,0.2791059740549007,0.7269072909545076,0.5982275795525914,0.7784427064795413,0.33912543539478623,0.171037396937243,0.4452337725528111,0.3747225352435948
E0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
L,0.16184637712849018,2.8567630540266724,2.8567631878009996,2.8567627515412375,2.8567630335489866,2.856762378035057,2.856762767502121,2.8567626181940615,2.856762638304763
