seed=1,TBPH0,TBPH1,TBPH2,TBPH3,TBPH4,TBPH5,TBPH6,TBPH7,TBPH8,TBPH9,TBPH11,TBPH12,TBPH13,TBPH14,TBPH15,TBPH16,TBPH17,TBPH18,TBPH19,TBPH20,TBPH21,TBPH22,TBPH23,TBPH24,TBPH25,TBPH26,TBPH27,TBPH28,TBPH29,TBPH30,TBPH31,TBPH32,TBPH33,TBPH34,TBPH35,TBPH36,TBPH37,TBPH38,TBPH39,TBPH40,TBPH41,TBPH42,TBPH43,TBPH44,TBPH45,TBPH46,TBPH47,TBPH48,TBPH49,TBPH50,TBPH51,TBPH52,TBPH53,TBPH54,TBPH55,TBPH56,TBPH57,TBPH58,TBPH59,TBPH60,TBPH61,TBPH62,TBPH63,TBPH64,TBPH65,TBPH66,TBPH67,TBPH68,TBPH69,TBPH70,TBPH71,TBPH72,TBPH73,TBPH74,TBPH76,TBPH77,TBPH78,TBPH79
beta,0.022716588439105376,0.11058670180297969,0.3183841858388907,1.0,0.0002654738759186303,0.9699996862961311,0.4323622345414594,0.7499986450474303,0.9999999756452386,0.09924289215632288,0.17258666031566838,0.6758870137816002,0.8160521666516954,0.037753294105042794,0.8199140128291141,0.9183598910502198,0.2417587556785466,0.39146724908779923,0.19978681642991006,0.6401102197941512,0.42676513255648235,0.305480801220869,0.26562242336625336,0.9397337702320943,0.8355938287499777,0.14046477844443034,0.473630439438364,0.00030133246174416007,0.4239725503824381,0.16295106795510342,0.0006609790808845527,0.6080912907560407,0.24517307471395489,0.18807791282898617,0.9280022968641237,0.9352154731345365,0.9640877371209803,6.34074493969909e-05,0.6469031692125361,0.38517433961994185,0.0015884185005008073,0.9026254265689547,0.7476293417703601,0.2505794813754395,0.21691795687315565,0.8599998851442073,0.4458534925294636,0.29383782397141367,0.7830687789137978,0.07355074513736944,0.6526517724707791,0.6318736057123342,0.8056875243136877,0.011670364875434536,0.29447475140517293,0.07214984600637551,0.3198103317697838,0.18127626599150892,0.02104123697326793,0.6621568104081071,0.4737631419326158,0.4936499206198054,0.19213738107652645,0.4618294907053582,0.5399567339012151,0.13262786546105648,0.08464504144741188,0.9448493582872682,0.20985963667955546,0.0019346968709938136,0.39362666022265946,0.7837542579430596,0.1917806656980422,0.3165500155609377,0.21394834473324928,0.010876160845246556,0.03376793312359337,0.42019215501906576
sigma,0.0002585079296928788,0.5798870019916974,0.7684502201973428,0.26014407904257514,0.5153050023467818,0.9799997345452955,0.5460565729342033,0.129996388470388,0.0026612203445929186,0.4745050015483936,0.9811976961260327,0.3358076435860553,0.39377127600002093,0.0016617983059486615,0.12108443255108313,0.37149845614250565,0.9508684351538034,0.7483571729032072,0.6447273998904857,0.4998660277940241,0.6158308434426706,0.8984381773250466,0.9580940674578525,0.46995530598497254,0.6512032186422876,0.6963474943337261,0.9208690181585708,0.46599583424397234,0.8861070898968186,0.5146554849446032,0.981161369732776,0.44711106475600126,0.848850036795966,0.9148806002398295,0.000524936866156363,0.6515993086478722,0.7223159679777761,0.6442037610364107,0.3708747040020981,0.6693549218660505,0.6801345897004756,0.8344560471457435,0.013174356471589498,0.6915895329097116,0.6757385384976833,0.0900006834434829,0.0005219016691009905,0.397789179637239,0.2493121669181271,0.22777276765337864,0.26027410588118693,0.9731506889115981,0.536782332528502,0.01848365343855449,0.671262884926888,0.5832698437880626,0.7065778548217297,0.012156595867998983,0.9226458969681132,0.8709291451449205,0.6325697909368372,0.6455117600904436,0.001033516468068169,0.7529973284489433,0.07026420222610051,0.4708841441108375,0.3982244218439313,0.21887520724851922,0.03525308403081806,0.7614219055677108,0.6385591451382692,0.6480771247183678,0.6612980768251615,0.9454932919065746,0.6737184755671812,0.41160874612891807,0.001009318335349309,0.714878396522182
gamma,0.0016394385054761416,0.695991104914202,0.9023308174962497,0.11917446034724126,0.5657071309526562,0.0011325613914085297,0.9285124930617267,0.39999970380610866,0.002062849769402649,0.8692379433533313,0.7070469868065667,0.44829141778855647,0.97608538489958,0.002659278096606256,0.23013838097845885,0.15700450351658057,0.946058987086979,0.8916188557018442,0.8653959988978457,0.7500010047711068,0.9678628954727672,0.5391215189956081,0.9960251958157361,0.1117117245068299,0.15206741478131378,0.5316230372948336,0.0011602150127160177,0.9128710936667457,0.7834191355324358,0.6784851096040773,0.2640200480792351,0.546778229246564,0.6898014161073885,0.8423635421856475,0.0023288772255965194,0.18162219810400818,0.325201556064301,0.5038415671624704,0.6508409088428364,0.6104184652485901,0.6903414898714341,0.5510700474495879,0.0014578281923066198,0.7373485603908274,0.3271555804654019,0.09999997741187837,0.002349060261094334,0.35248514760825095,0.44293134861339684,0.20652588540767294,0.8410216155352896,0.6346836721316412,0.6668206149444399,0.002385024100367287,0.5058743915037288,0.9503514670134658,0.5583134525710836,0.0015455390177142477,0.23312353574377526,0.9373072902797344,0.8407211792537328,0.5169927826738275,0.0023301698531797885,0.9080802732835087,0.9398013731180426,0.4297946878336777,0.38795232836508026,0.5317884417742205,0.0012718963991641145,0.3357247519544605,0.9980127940311279,0.0011360583961413605,0.5267098195860411,0.8233979046400298,0.7364697274886557,0.7797750473866553,0.002800270563661719,0.9995571858021031
mu,1.0,0.380377959909389,0.2628893794392237,0.0483814662927519,0.49549248796506074,0.1565017091011468,0.11349784745458753,0.04837686594149218,0.26793786964110217,0.37984710514753833,0.3725882531162333,0.0484355845433486,0.048435599970816395,0.43540342282816485,0.04838307242146347,0.048382773731534524,0.33884311474855483,0.21313607008188393,0.31950652179462047,0.04947331165830228,0.1499659087051102,0.268498967274158,0.32792337108206626,0.048382271253690275,0.048452063803554955,0.35905878037236333,0.15650161840770002,0.49604101647576126,0.22098224781839534,0.3154898911577889,0.4950561845926668,0.0490650714733674,0.31159274620250593,0.36363980280593683,0.9853295426751348,0.04843011837498274,0.04869864422569035,0.49572250226799885,0.04853944778655971,0.18002912994216852,0.4938946171265248,0.050915606449651665,0.15858550850103875,0.28472947115154734,0.26563760694839367,0.048381631509891006,0.9981224714217213,0.11614366755628872,0.0483833765211625,0.29820532318110343,0.04839371658355177,0.1365136322777971,0.04875224861631388,0.36255144150289,0.23162506730579216,0.42417417774412103,0.2276300544907771,0.15983768628496192,0.4656150165832932,0.11431381072246088,0.12399693750380936,0.10414781902701419,0.5559960796819998,0.17474022278154408,0.0483813484016079,0.32050633126852934,0.3622241564218937,0.04838315463810746,0.156504211942242,0.4933038299380031,0.18145410868598155,0.15650129332485152,0.31004327059447456,0.29021466662132017,0.30847800347045273,0.480623325750735,0.6745803038126874,0.19035044246938806
E0,1004.0,1004.0,1004.0,1004.0,1004.0,1004.0,1004.0,1004.0,1004.0,1004.0,1004.0,1004.0,1004.0,1004.0,1004.0,1004.0,1004.0,1004.0,1004.0,1004.0,1004.0,1004.0,1004.0,1004.0,1004.0,1004.0,1004.0,1004.0,1004.0,1004.0,1004.0,1004.0,1004.0,1004.0,1004.0,1004.0,1004.0,1004.0,1004.0,1004.0,1004.0,1004.0,1004.0,1004.0,1004.0,1004.0,1004.0,1004.0,1004.0,1004.0,1004.0,1004.0,1004.0,1004.0,1004.0,1004.0,1004.0,1004.0,1004.0,1004.0,1004.0,1004.0,1004.0,1004.0,1004.0,1004.0,1004.0,1004.0,1004.0,1004.0,1004.0,1004.0,1004.0,1004.0,1004.0,1004.0,1004.0,1004.0
L,0.5702026385989122,9.282188713387939,9.282189490184335,9.28218895964101,9.282189778816575,2.406118873347779e-05,9.282188607149447,9.282188643117394,7.697350476576149e-06,9.282189039448783,9.282189244784552,9.282189091746648,9.282190389976837,3.0229338128844796e-06,9.282191926289869,9.282188977306008,9.282189250216234,9.28218936832491,9.282190218505397,9.282189369282367,9.282189605239298,9.282189262532992,9.282189521308183,9.282188916030012,9.282188908004334,9.282189073807428,2.368913516548525e-05,9.282189218342852,9.28218937696906,9.28219023797782,9.282188966548322,9.282189203281012,9.282189357709177,9.282189133189506,5.337312198485687e-06,9.282188927572069,9.282188924209128,9.282189702723949,9.282189475923621,9.282189511513366,9.282189153009414,9.282189193844756,1.917010463843371e-05,9.282189496474587,9.282189269989036,9.282188802759858,5.19089721025714e-06,9.282190045432227,9.282191524544674,9.282189261817624,9.282189672366044,9.282188983205483,9.28218907499441,5.816749214130488e-06,9.282189409022363,9.282188688762677,9.282189353700204,1.780141037908954e-05,9.282189324430345,9.282189293343873,9.282188943696342,9.282190130128205,5.189822548151694e-06,9.282189357809843,9.282189366696633,9.282189642992389,9.282189354736278,9.282189809146848,2.2253936631166183e-05,9.28218889034196,9.282189235885198,2.4013745962871374e-05,9.282189364487294,9.282189739509482,9.282189198701863,9.282189344387989,2.7235781895996363e-06,9.282189312362403
