seed=1,TBPH0,TBPH1,TBPH2,TBPH3,TBPH4,TBPH5,TBPH6,TBPH7,TBPH8,TBPH9,TBPH10,TBPH11,TBPH12,TBPH13,TBPH14,TBPH15,TBPH16,TBPH17,TBPH18,TBPH19,TBPH20,TBPH21,TBPH22,TBPH23,TBPH24,TBPH25,TBPH26,TBPH27,TBPH28,TBPH29,TBPH30,TBPH31,TBPH32,TBPH33,TBPH34,TBPH35,TBPH36,TBPH37,TBPH38,TBPH39,TBPH40,TBPH41,TBPH42,TBPH43,TBPH44,TBPH45,TBPH46,TBPH47,TBPH48,TBPH49,TBPH50,TBPH51,TBPH52,TBPH53,TBPH54,TBPH55,TBPH56,TBPH57,TBPH58,TBPH59,TBPH60,TBPH61,TBPH62,TBPH63,TBPH64,TBPH65,TBPH66,TBPH67,TBPH68,TBPH69,TBPH70,TBPH71,TBPH72,TBPH73,TBPH74,TBPH75,TBPH76,TBPH77,TBPH78,TBPH79
beta,1.0,0.0,0.4281472202421995,0.9999752406174282,0.0,0.9484585815548203,0.5214769600254943,0.7502280106818681,0.0,4.689676281052204e-05,0.5399820488934945,0.0,0.6888475196587097,0.8397352887201631,0.9541139581412866,0.81977154682439,0.9184180509479126,0.17320964840228484,0.4673160732944267,0.1027009028222346,0.6391580731485814,0.5390208720091704,0.452059694422271,0.2733937101414495,0.9398866163229006,0.8362181867902828,0.0003528333999264566,0.619977739707289,0.0,0.4545770441260918,0.0023910110801513597,1.2165247425912005e-05,0.6639702211158708,0.2181400848147014,0.0,1.0,0.9379478328115376,0.9810604671970975,8.253989557847397e-06,0.676487464475095,0.546397048367233,1.8934147164737233e-05,0.971787124030072,0.7594259258784251,0.14066415789848333,0.10970620484811379,0.8578363046161196,0.6075355107216698,0.30990796807050336,0.7854547629166059,0.0,0.6598191051926168,0.7679097254297599,0.8595135059698559,0.10951608390678813,0.33785776100707876,0.0,0.2602297778540417,0.2798707257183182,0.0,0.8364693845442231,0.5686615971789396,0.6097061032181564,0.8300414335232685,0.5414876876749822,0.5399228151774461,0.0012116125150994663,0.0,0.9472032117448561,0.2889010909066468,0.0,0.39232320493442363,0.7900039103929976,0.11215293357716993,0.531240949199381,9.080456242387296e-06,0.3232188296584993,0.0,0.35935598182787476,0.36291697360643904
sigma,4.078580361005863e-08,0.6246541719257572,0.6895746817512813,0.2600940401707141,0.5173059277937246,1.0,0.40976971766624165,0.1300089993244208,0.9999953493375404,0.4815141832720199,0.9201834531677665,0.998938505779508,0.3100820602193912,0.3311181758201379,0.0023817285641891933,0.12115226138920314,0.3709736230982981,0.975321999638709,0.6853146783801152,0.565666815832746,0.5009701212571802,0.4242681118651425,0.8618215981777299,0.9985561518351523,0.4706019116208068,0.651034130986777,0.7001633217362409,0.9300910117675942,0.46172256465630873,0.8961326621502141,0.42307352227055295,0.9823258656592311,0.348360438360753,0.7860542118308449,0.8934258644118043,4.222923305822964e-05,0.650628225362588,0.7137409587824926,0.6439393557938201,0.30147324718298524,0.5142804738220798,0.679449756704993,0.7938920816746632,0.0,0.7167921507546576,0.7000287082082762,0.08642388896115746,4.261691491360596e-05,0.3448027260618942,0.24105650036866155,0.31635173166979874,0.2389512851577126,0.9248422986551517,0.4528519764297692,0.15673721312112232,0.5606356696985763,0.5055865130527016,0.7699058887672506,0.0,0.9253601488985895,0.696975001036137,0.4687574476979345,0.5894951637091845,0.0,0.5900790077247332,0.07035383580730564,0.2966923578372177,0.7779535441120358,0.20924043475652387,0.00013863929585799682,0.7634686098082258,0.5063752012158933,0.6500998665004486,0.4645754336881333,0.9394350338139072,0.6545092390328775,0.5187182106506425,0.42111787749378615,0.0,0.7408064888120626
gamma,0.005347512948042174,0.6706639925923893,0.8658650531515633,0.12015106625298358,0.5693288136253921,0.5417331822352646,0.923625945941955,0.4015230093322821,0.8335838828440387,0.8727998563131498,0.006137331389003385,0.6489871676404907,0.44524737214728866,0.9728608330856416,0.007170343968618014,0.23051040798759156,0.15654624464677022,0.9607095090209228,0.8617812125367256,0.789249881645532,0.7501752058834223,0.9581147273528186,0.3618696836475389,1.0,0.11088824608780613,0.14927394673511113,0.5546864472970172,0.006273484020344122,0.9148357607727402,0.5848704637421179,0.6498290083055751,0.2813247817291159,0.5278049964341488,0.5758202541869377,0.777412958938915,0.008623503521138378,0.16970060007796564,0.2842675251127484,0.5204041710746914,0.6459757985347652,0.559749868412242,0.6875177259589236,0.461614213127859,0.26880166802127486,0.7474693653525304,0.32004362275508885,0.0973620441730806,0.008648512272688392,0.3510672495751543,0.4409851675545938,0.2697314369329069,0.8409115766679154,0.44902556333660343,0.6448318239313663,0.3923742915969226,0.3373721030453899,0.9481032257271541,0.5499525034281957,0.49816495530386146,0.3128306845563622,0.8842768749132442,0.8238287464613578,0.3591816956456976,0.49969082509216056,0.8652215781343565,0.9411192588800973,0.4923707486004576,0.4097013687666415,0.5325156287883669,0.008570923618408686,0.3809855292873587,1.0,0.039813303283731206,0.3159584612055526,0.6440643331691497,0.7392092815918796,0.6810937678842858,0.783771741896079,0.18584931937271854,1.0
mu,1.327129253505146e-08,0.03954524130471324,0.026256882206067363,0.019428050258333846,0.04006398235201967,0.021241585616960657,0.020784668623762714,0.019417382084781526,0.04007431637243825,0.040085427336295935,0.09312453594971473,0.040064203964628946,0.019574517079712063,0.019523902439784965,0.03294293833548177,0.01942315308105907,0.01943919279169724,0.035242691373757074,0.025336716578500826,0.035431751658371764,0.020712107037780737,0.020883230853193133,0.025100775893899415,0.032837871654930344,0.01943250963547896,0.019519707757667894,0.04006231609773928,0.11550284999489163,0.040073759785014644,0.026791273895309366,0.03992715416962583,0.04012913483069113,0.019731384528574206,0.032172205956465826,0.0400757187594334,0.9999999566254852,0.019502484378832386,0.01972119897636119,0.04008376084361011,0.019598813658224704,0.02147826949606711,0.040089223126059254,0.02025694039384611,0.0,0.03477549138270466,0.03454179830564637,0.019419237199819386,0.9961647456819768,0.022560671246852827,0.019436946144342448,0.040087230308798655,0.01956326797832811,0.021804061624095202,0.019744959774424316,0.02577691997382254,0.02499375591885315,0.04018698461895658,0.030615944045970605,0.0,0.04007902417630252,0.020925755849335984,0.02101901775445928,0.02096566812318502,0.0,0.02277881692225746,0.01942445280429582,0.040018004102548896,0.04007517946300707,0.019414798068575743,0.3155445994338159,0.04007446575000425,0.02456444346446019,0.019427351961237967,0.03293875463639778,0.025932678466238073,0.04010054889407246,0.02628014032158044,0.04007607354242821,0.0,0.02851650040597859
E0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
L,0.003599324911341701,2.8585891514188333,2.858041043167987,2.8567627947096557,2.8585877584285195,2.8569706413079183,2.8568682740104876,2.8567633590472483,2.8585882286904805,2.8585877715215795,0.0162742206295455,2.858588231932501,2.8567632783306762,2.856763215077591,1.1290765134496482e-05,2.8567624217651426,2.8567627987813045,2.858426836612458,2.857956418350576,2.8584681144844306,2.8568331417550175,2.856866895998491,2.8576127307309744,2.8583395872501605,2.85676281317821,2.856763260922618,2.858587716622092,0.026422485608151743,2.858587684582661,2.857897271515136,2.8585846417984615,2.8585880200481104,2.8567639894140155,2.858257890389237,2.8585882699007747,1.1867700540406476e-06,2.8567630384180935,2.856765774432349,2.858588229127907,2.8567633655492517,2.857053282507085,2.858587774848118,2.8567897153231714,2.8586826564379497,2.8584185301868064,2.8583048637562123,2.8567632980552315,1.0723936966831402e-06,2.857406157355905,2.8567632721044163,2.858588585280971,2.8567630636520485,2.8571103847109804,2.856764006136842,2.8581988018860645,2.8576892633875786,2.858587713369527,2.858174769864163,2.8586824067728602,2.858588178210183,2.856877831818423,2.8569090445780896,2.856904122931578,2.8586826564379497,2.857574939150009,2.856763717788041,2.8585850528556156,2.8585881673649176,2.856762974408339,1.5725310216656465e-06,2.858588176456308,2.85801723364992,2.8567627002402225,2.8582826312066762,2.8578289962018233,2.8585878417881565,2.8580568557069594,2.858587830244452,2.8586826564379497,2.858216927980731
