infectious
24513
28667
29586
33570
37998
43871
48781
52351
52740
54933
58252
61247
65309
68248
69839
72864
69566
64647
63167
65491
64772
64532
62578
59865
58349
56646
53931
53483
52598
50703
48058
45969
44254
39439
40836
39794
38132
36198
34672
32886
30441
29155
28198
26459
24914
20987
20338
21378
20475
19910
19298
18233
17537
16294
15739
15214
14396
13507
14016
13363
12731
12418
12009
11764
11092
10861
10276
10366
10173
9751
9518
9407
8707
8066
7928
7786
7819
7841
7858
7641
