seed=1,Germany5_0,Germany5_1,Germany5_2,Germany5_3,Germany5_4,Germany5_5,Germany5_6,Germany5_7,Germany5_8,Germany5_9,Germany6_0,Germany6_1,Germany6_2,Germany6_3,Germany6_4,Germany6_5,Germany6_6,Germany6_7,Germany6_8,Germany6_9,Germany7_0,Germany7_1,Germany7_2,Germany7_3,Germany7_4,Germany7_5,Germany7_6,Germany7_7,Germany7_8,Germany7_9,Germany8_0,Germany8_1,Germany8_2,Germany8_3,Germany8_4,Germany8_5,Germany8_7,Germany8_8,Germany8_9,Germany9_0,Germany9_1,Germany9_2,Germany9_3,Germany9_4,Germany9_5,Germany9_6,Germany9_7,Germany9_8,Germany9_9,Germany10_0,Germany10_1,Germany10_2,Germany10_3,Germany10_4,Germany10_5,Germany10_6,Germany10_7,Germany10_8,Germany10_9,Germany11_0,Germany11_1,Germany11_2,Germany11_3,Germany11_4,Germany11_5,Germany11_6,Germany11_7,Germany11_8,Germany11_9,Germany12_0,Germany12_1,Germany12_2,Germany12_3,Germany12_4,Germany12_5,Germany12_6,Germany12_7,Germany12_8,Germany13_0,Germany13_3,Germany13_4,Germany13_5,Germany13_6,Germany13_7,Germany13_8,Germany13_9,Germany14_0,Germany14_1,Germany14_2,Germany14_3,Germany14_4,Germany14_5,Germany14_6,Germany14_7,Germany14_8,Germany14_9,Germany15_0,Germany15_1,Germany15_2,Germany15_3,Germany15_4,Germany15_5,Germany15_6,Germany15_8,Germany15_9,Germany16_0,Germany16_1,Germany16_2,Germany16_4,Germany16_5,Germany16_6,Germany16_7,Germany16_8,Germany16_9,Germany17_0,Germany17_1,Germany17_3,Germany17_4,Germany17_5,Germany17_6,Germany17_7,Germany17_8,Germany17_9,Germany18_0,Germany18_1,Germany18_2,Germany18_3,Germany18_4,Germany18_5,Germany18_6,Germany18_7,Germany18_8,Germany18_9,Germany19_0,Germany19_1,Germany19_2,Germany19_3,Germany19_4,Germany19_5,Germany19_6,Germany19_7,Germany19_8,Germany19_9,Germany20_0,Germany20_1,Germany20_2,Germany20_3,Germany20_4,Germany20_5,Germany20_6,Germany20_7,Germany20_8,Germany20_9
beta,0.0017502605218008868,0.058646437518821856,0.8744327758155647,0.0645705523390133,0.11227392697085228,0.9128500520111767,0.0,0.1871246156853091,1.0,0.28355050096786555,0.45372913921924113,0.7004341112445475,0.23166495706066673,0.8555512484588831,0.3035190521054695,0.5979689643671138,1.0,1.0,0.9999766635527256,0.6026532411824955,0.6572016226412986,0.2718567720053646,0.2865854825283372,0.9999999999974782,0.9999999999974782,0.9247760687718012,0.8863259608342787,0.30507313466880553,0.3917406767166652,0.9999999999974782,0.25056313844872985,0.9089874409798794,0.658194353239699,0.7006583484344268,0.49069630417634125,0.573311966078336,0.3737867026994072,1.0,0.4183166528527174,0.48555895635960794,0.5191460443787455,0.7391354403335699,0.5470472067050445,0.17625204962978744,0.7153425044787323,0.19371522672548394,1.0,0.5092762100188171,1.0,0.9149331880851411,0.458994256767924,0.3744359712571475,1.0,1.0,0.7285845192589099,0.6641611490479943,0.7760592137649975,0.41378455094983824,0.6367019414621188,0.0,0.6999999997180079,0.84901599318037,1.0,1.0,0.0703354545611271,0.13039104149997496,0.30768755046842916,0.1407283186853715,0.09763768802618053,0.697107590732916,0.20450016623290682,0.9905525293586664,0.4843097593498503,1.0,0.36224162652212,0.5802187354150287,0.6502571462536435,0.09770537658939053,0.28944147730314335,1.0,0.22620350876143208,0.38947647985915496,0.0,0.2526428800440938,0.0018284884843658817,0.3261566069096284,0.6421501528845529,1.0,0.15317418601539226,0.468549551391196,0.25237952225965143,0.3407607605426006,0.9180966733517445,0.5886507496455777,0.0407728284187872,0.3804745234033908,0.29851097690056744,0.23992838786453297,0.417499404094145,0.7989781055787677,0.0,0.8161873304307203,0.08051110088767179,1.0,1.0,0.7999999997574658,1.0,0.8039852147832037,0.7326544365934108,0.3462065393574873,0.41562146103209163,0.6674582621615243,0.022088955952353554,1.0,0.08934995919134374,1.0,0.5878836098516059,0.9638345174228572,0.45351228438385155,0.7794465464841933,0.006730807647857765,1.0,1.0,0.3031786106449754,0.0015753231414405303,1.0,0.9873343805759659,0.46935663029651914,0.7933928143390622,0.6205068017503143,0.9927966330862206,1.0,0.46993280816310645,0.8400837204472423,0.32853886999391846,1.0,0.25630660667330185,1.0,0.9000000874859938,0.15552243323713236,0.5277390032120901,0.9827553692979953,1.0,0.9418950316206713,0.442085796172938,0.3020422787265344,0.3897073884337629,0.0,0.2364869262435894,0.8284468005522068,0.5551587035274638,0.19115245023926417,0.4282472334900015
sigma,0.07247874629379439,0.08485507397618099,0.24633812311750222,0.0931373962651196,0.6025510933907852,3.7328972037952685e-05,0.0,0.22762537400779578,0.008567843540024876,0.1252705230840591,0.5805523477512218,0.7613008245775686,0.15035060870675443,0.8134480594443076,0.38314628676410034,0.900805180850895,0.0004680305523622763,2.747857701659047e-05,0.9639025589729564,0.7892696010635997,1.0,0.9907526699178538,0.3151541972804259,2.7424574065326505e-05,2.7424574065326505e-05,0.8891366541143804,0.8480184515523298,0.00847969790601541,0.5481742587023204,2.7424574065326505e-05,0.9045484842658144,0.23658089048427977,0.6700573713153343,0.9005334631202397,0.5280562759584284,0.9074505611250815,0.40458113270076945,2.7377046191045166e-05,0.008731972717015214,0.7878327394255038,0.679473702677725,0.2931241274653391,0.4980445694671276,0.09450308386491735,0.7972738918660391,0.00020919217419756878,0.00852907276863819,0.921778446003913,0.008501206907604156,0.8991404835276767,0.4075905009450774,0.44934754466711074,0.008505953322582334,0.4021687774396123,9.09595662527003e-05,0.9967422507881328,9.256707385152067e-05,3.838041831479833e-05,0.9271748830479638,0.43301997546494986,4.1387704668378995e-05,0.21930730089517314,2.7269411476347484e-05,0.008522509015781794,0.6045216939031878,1.0,0.00016753935913940685,0.1551688442678882,0.11010605451236129,0.6958880511907998,0.22731185730927592,0.0021559025744657353,0.5420148256300128,2.7230209947179533e-05,3.214756760953257e-05,5.408273759064797e-05,0.9358416784489646,0.10976557675648885,0.4492155683839894,0.36516426101687344,0.2585264645781387,0.4126434432473763,0.0,0.23257425445265725,0.009788068424047667,0.3709986388653908,0.08495441941550494,0.36712129867151333,0.9495036712326698,0.8028455400750714,0.2897729672279887,0.008494819200130253,0.00016637070447379586,0.7061059798135452,0.050108858113937046,0.3295247375404392,0.9546321293506311,0.2479400942484324,0.43891644181530226,0.0747080829457079,0.3999448779833848,0.5296534233722301,0.09106254441259334,0.008461050175432258,0.008500006899876884,4.097889529914906e-05,0.008500594653986851,0.7748005597337791,0.942011911644332,0.2965092136261064,0.7454338709628294,3.130685150175712e-05,0.0026353207202190845,2.712489630600944e-05,0.09976134140617572,0.00111428744119799,0.699995772107163,0.9817419543048135,0.00029502895899055897,0.8607721178442536,0.004663414420374536,2.7102646751768835e-05,0.008428789941550585,0.25212622840856813,0.966924637855761,0.008493493858055865,0.9880853265469802,0.8001517052776724,0.00019557693941038703,0.00856986479822227,0.005212269055259631,2.708165719008989e-05,0.8001329633315621,0.008499316435363405,0.3440124561213924,0.37548561348322973,0.2021325465552449,0.008430145546836364,3.031866529872773e-05,0.1786678480045548,0.5478991960890474,0.9847675206565134,0.008492671796508287,0.2782000226028539,0.8285753748230037,3.6098636576681706e-05,0.4276079169290932,0.8946879349148589,0.23671872358693297,0.4883914399911613,0.5221836299956426,0.9038315808267418,0.008633579471077296
gamma,0.05622640639472656,0.16031852803918,0.049713948511372535,0.15678316480371635,0.08240252072267827,0.2957845450143942,0.7999030109165688,0.1764963827129254,0.22360655785348352,0.17402874814270247,0.14209277328129763,0.205326056263646,0.6558680866240506,0.4838096402426309,0.1471980197352712,0.12666220704053102,0.28884791016271794,0.2927659718777768,0.4482857611442892,0.13926293919713434,0.12286880652918607,0.9880792712531614,0.2062906900455137,0.2921907516144553,0.2921907516144553,0.44753795287152287,0.4530820845552847,0.29815275603811564,0.12347555793046648,0.2921907516144553,0.9333529870558626,0.049039782824560556,0.7033206233329654,0.13206807626244121,0.20632522889228108,0.11516797113606986,0.20674946733209984,0.29168439363822196,0.26059070398822204,0.10859304462050533,0.12365376498900411,0.050777698804864095,0.5112100726356903,0.6719530916870092,0.16543685522012938,0.4486700788824872,0.22173907880896557,0.1060452563408014,0.22194519486557948,0.38759648952150577,0.5311613287037474,0.1370770515560623,0.22151089976263846,0.047725537981175195,0.2995490078509539,0.11283940619691149,0.29739894828906216,0.328639734153066,0.11385077236586165,0.042727772526938906,0.49999999748290846,0.049443520055669155,0.29048819813521887,0.2210308793663673,0.8014480227192958,0.9998622789442215,0.35455181719856615,0.20545027859865017,0.20523186705193583,0.8978256513638561,0.1824335732069779,0.9877949559150548,0.15453393023380368,0.2901197090727204,0.3368460785635389,0.3076508395636097,0.10941147784723107,0.20508483326537788,0.09422774878363295,0.04744118475271776,0.15721699345496457,0.20307769586623953,0.7835948195261295,0.47926780906855415,0.2044260163875557,0.1496028360668746,0.06170649035874286,0.0473728264710681,0.8999978834896605,0.09441662800731584,0.1484126127848867,0.2723931726033832,0.2903389139678342,0.1223363240583149,0.20482916154560044,0.5038937512409443,0.9477429948837767,0.24205507515660474,0.2038861408057894,0.06243383557641281,0.49999416121467594,0.0513276398008,0.20480339384361085,0.22029046107162173,0.22001041989134842,0.49999999679057705,0.21975913935066643,0.11167359480173453,0.11016290447859838,0.5118882176277997,0.08840255750384987,0.30029052717134114,0.4985915971398623,0.2889976298173982,0.20475447841291536,0.2790430142798024,0.8653171000483263,0.9664049982663666,0.31503547096748225,0.14046009503556423,0.2891735687701553,0.28876056831641755,0.22004279316815933,0.5150075499306772,0.8806396645228319,0.2193607155750223,0.839968357148075,0.08847616834892993,0.7310373937092611,0.23239948321937387,0.24410990657287865,0.2885369317101124,0.08852101104121973,0.22312485269658197,0.2054601019479047,0.047086425578741486,0.5380320143409536,0.2195595145525705,0.29066330101721727,0.1567510499363434,0.2039766204167845,0.9974612534427522,0.21915715519425913,0.04764755394162027,0.08347421349861263,0.34615346521163404,0.14912353675496434,0.7246410404662567,0.4694971808317067,0.049635302271109454,0.38815046525876223,0.5956771077610346,0.24891943129019706
mu,1.0,0.33774804990946977,0.0019103820754169895,0.314430163621236,0.3612327287864349,0.7444055370785697,0.0,0.11136509386926195,0.004267853245555978,0.0051196999378664235,0.05203793972793265,0.020429813935034378,0.0027665397490354445,0.002815369907742148,0.07102061045225927,0.05610894738005379,0.05964324663937715,0.9999999884538731,0.0028335004889426824,0.043241787818615623,0.0501619768288534,0.5032144735073365,0.04778913962687368,0.9999999875476104,0.9999999875476104,0.002889708783176903,0.002809925500350589,0.00511709084638661,0.06488302887031248,0.9999999875476104,0.4533317691577164,0.0019105239258595363,0.02659333221586241,0.03255093210114047,0.024045167487256363,0.055846454816597446,0.03214561920563673,0.9999999875053014,0.004618805508930242,0.06197210835475446,0.04087887484390086,0.0019100517543344335,0.002766705809282959,0.0030673159857256085,0.018743420745671282,0.2026729822746171,0.004258416461882947,0.06796106209567349,0.004268555553333966,0.00403159107522173,0.0027946588330645685,0.04017276743150923,0.004262442681481471,0.001910888711168363,0.3103537405049206,0.04236743567550952,0.30282377029382007,0.803694220344204,0.041584635332819,0.5940505796414726,0.8999999995665519,0.0019103916391692503,0.9999999872635479,0.004252509747996251,0.4730757890643128,0.4536048000115531,0.2000490804839119,0.06526511896974603,0.0927114732362499,0.016282295110918707,0.04587753568071289,0.02733968133909901,0.0231607381643094,0.9999999872083626,0.983792276049294,0.5348220532633048,0.03716178150695449,0.08542938350239553,0.06793658521748638,0.0019109879581325072,0.043538188008474914,0.020398474089207416,0.0,0.012143490525042301,0.8999179417932845,0.03234017396294126,0.0019155886937315234,0.0019110051132757984,0.34311936297456186,0.055482056311314955,0.03860045792866044,0.004827100912137077,0.16532599802449088,0.023700210835929807,0.16212686155444758,0.0027362759376252546,0.24815819720069748,0.025068324878693527,0.016614136641281682,0.001920773193465432,0.41505007202229005,0.0019101684991167476,0.08292045104046716,0.0042620098678757086,0.004247579073687386,0.8999999995507335,0.004244752605316203,0.0896855866874858,0.023494131480261318,0.0028294239679075945,0.0587509764500537,0.900442448399658,0.8999122387140572,0.9999999869711294,0.06681893611119998,0.025283774414595866,0.17600407337932733,0.01549904449071159,0.10186520920598774,0.012130596889313606,1.0,0.9999999867509085,0.0042685760204263954,0.002828249191405659,0.34506660393346583,0.004242404529915919,0.009742464438692793,0.048732482253786236,0.2403251195561453,0.004363372381126876,0.006215061885643649,0.999999986596888,0.048623919354204084,0.004282247747332569,0.016926050777339146,0.0019110593029974844,0.0028759297421932055,0.004262612332979119,0.9000000520948053,0.043263772450872255,0.010524634238485032,0.01015498622899107,0.004240371057955755,0.00191092879943941,0.052995687165754826,0.9000086468782014,0.018320778621618572,0.31128321858841446,0.024834800559783734,0.001910596064292391,0.002816706365972224,0.2202594172840021,0.0045240379565838085
E0,5 * 24513,5 * 24513,5 * 24513,5 * 24513,5 * 24513,5 * 24513,5 * 24513,5 * 24513,5 * 24513,5 * 24513,6 * 24513,6 * 24513,6 * 24513,6 * 24513,6 * 24513,6 * 24513,6 * 24513,6 * 24513,6 * 24513,6 * 24513,7 * 24513,7 * 24513,7 * 24513,7 * 24513,7 * 24513,7 * 24513,7 * 24513,7 * 24513,7 * 24513,7 * 24513,8 * 24513,8 * 24513,8 * 24513,8 * 24513,8 * 24513,8 * 24513,8 * 24513,8 * 24513,8 * 24513,9 * 24513,9 * 24513,9 * 24513,9 * 24513,9 * 24513,9 * 24513,9 * 24513,9 * 24513,9 * 24513,9 * 24513,10 * 24513,10 * 24513,10 * 24513,10 * 24513,10 * 24513,10 * 24513,10 * 24513,10 * 24513,10 * 24513,10 * 24513,11 * 24513,11 * 24513,11 * 24513,11 * 24513,11 * 24513,11 * 24513,11 * 24513,11 * 24513,11 * 24513,11 * 24513,12 * 24513,12 * 24513,12 * 24513,12 * 24513,12 * 24513,12 * 24513,12 * 24513,12 * 24513,12 * 24513,13 * 24513,13 * 24513,13 * 24513,13 * 24513,13 * 24513,13 * 24513,13 * 24513,13 * 24513,14 * 24513,14 * 24513,14 * 24513,14 * 24513,14 * 24513,14 * 24513,14 * 24513,14 * 24513,14 * 24513,14 * 24513,15 * 24513,15 * 24513,15 * 24513,15 * 24513,15 * 24513,15 * 24513,15 * 24513,15 * 24513,15 * 24513,16 * 24513,16 * 24513,16 * 24513,16 * 24513,16 * 24513,16 * 24513,16 * 24513,16 * 24513,16 * 24513,17 * 24513,17 * 24513,17 * 24513,17 * 24513,17 * 24513,17 * 24513,17 * 24513,17 * 24513,17 * 24513,18 * 24513,18 * 24513,18 * 24513,18 * 24513,18 * 24513,18 * 24513,18 * 24513,18 * 24513,18 * 24513,18 * 24513,19 * 24513,19 * 24513,19 * 24513,19 * 24513,19 * 24513,19 * 24513,19 * 24513,19 * 24513,19 * 24513,19 * 24513,20 * 24513,20 * 24513,20 * 24513,20 * 24513,20 * 24513,20 * 24513,20 * 24513,20 * 24513,20 * 24513,20 * 24513
L,0.011352833099399518,8.051896640196136e-05,0.0014478578482579553,9.086741571673999e-05,0.00043002772803635135,0.00012816707455227643,15.897726687869325,5.827387414372895e-05,6.0641166144727165e-05,0.16783040413602657,0.00012851385331493599,4.8780735995982134e-05,0.0007499925237536509,0.0002922401249372316,0.00012194374961477788,0.00017489330481924623,0.00011922034958472448,0.00012595986956102798,0.00024633659768947907,0.00014207649023724572,0.00018887466731821605,15.169415136089796,5.1111639816740386e-05,0.00012556112561379844,0.00012556112561379844,0.0002472285985955182,0.00025150935621682873,0.0001050582806522288,0.0001964779009311571,0.00012556112561379844,15.169414027144152,0.0014037876308484068,0.0859780684620997,0.00016212523276768037,5.106058439424045e-05,0.00022242392202713918,5.109066603116025e-05,0.0001252114259235293,8.140507165232152e-05,0.0002576793106891976,0.00019232267914325035,0.0015189075938242711,0.00033725786429831406,0.0006357652886090804,7.491854891843541e-05,0.0002683337168298238,5.9590279015036814e-05,0.0002674822792603165,5.958988004718772e-05,0.0002491890230883769,0.00035680841438791696,0.00015056725556522824,5.939717477320983e-05,0.0013198264034378676,0.00013007389199998215,0.0002332531924996393,0.0001285331521218974,0.00015443747633030663,0.00022978686679905004,0.001024550788955695,0.02296712750905731,0.0014300586148852479,0.00012434959868578882,5.9223225061735936e-05,15.169413751118451,15.169414945535076,0.00017302560272396277,4.888950780320525e-05,4.904316700367281e-05,0.11052372098193704,5.401634664569248e-05,0.14968596760775238,9.763925843618942e-05,0.00012413413074569154,0.0001609753617755152,0.0001363922573437161,0.0002540907246821287,4.906324438214606e-05,0.00037059198951996583,0.0013020229378152173,8.831919797696412e-05,4.7967299081378414e-05,15.897725570147871,0.0006507574936418829,4.926551083511996e-05,0.0001095506462282021,0.0018547832580952824,0.0012977574867445232,15.169415924511867,0.0003415880412892897,0.00011559424091233808,8.779638642265253e-05,0.00012292959416852352,0.00020030586048270358,4.9205565346297745e-05,0.0003368208486258537,15.16941463328688,7.243908274681458e-05,4.803981633381045e-05,0.0016982824301111,15.169414165771986,0.0015560231498312398,4.9133355618185865e-05,5.865301368194883e-05,5.865408545245833e-05,0.02493135451717371,5.8535514968051926e-05,2.7878872036893516,0.00025775262639092316,0.00033115155202585815,0.00038893801369890385,0.00013121441257154417,0.000790294812073934,0.00012336622507456958,4.9123844385333576e-05,0.00010739465460327166,0.8700422615621372,0.260382541338204,0.00013963912394726223,0.00013048926322287898,0.0001452308264179289,0.00012320446720770324,5.842444192443145e-05,0.00033877548050265924,15.169415004858237,5.831947658889588e-05,0.14090748357849425,0.00038764150925029594,0.07483641391939908,6.506848925569605e-05,6.805131875593152e-05,0.0001230520221282034,0.00038758758575208226,6.0163598873956204e-05,4.860555239076023e-05,0.0012800008894916465,0.0003651626710353516,5.8225740096034485e-05,0.00012446706218155874,9.0966791809846e-05,4.889414271771589e-05,0.19150065454553336,5.8220561005611474e-05,0.001314929601587651,0.0004242331218616332,0.0001670281707994902,0.00011151193058692201,15.169415861955256,0.027279865050148268,0.0014425421768417656,0.00017907199632095073,15.169413974652398,7.424039462690711e-05
