 ,Germany5,Germany6,Germany7,Germany8,Germany9,Germany10,Germany11,Germany12,Germany13,Germany14,Germany15,Germany16,Germany17,Germany18,Germany19,Germany20
beta,0.0017502605218008868,0.5423011285413714,0.11038038710629981,0.6571221162251698,0.09575135673736844,0.6487501813532378,0.5696936518510529,0.47683555065912747,0.5398047915304086,0.5264429247719061,0.6592666524971105,0.6678836476792844,0.5809511056186862,0.5791833155079862,0.5892249178413989,0.5813118867792498
sigma,0.07247874629379439,0.8776800226320737,0.9014219574324237,0.9977305619511871,0.9010038581192212,0.956857748764887,0.8556625101100858,0.8825806583220732,0.9134426571960911,0.8926105838728551,0.9035659859906675,0.9139573934893945,0.9148524846432958,0.9121789024193572,0.921528033595157,0.9126583551090018
gamma,0.05622640639472656,0.1219294002258572,0.07373246952444698,0.11885464321767363,0.06717449457811756,0.11343904204531967,0.1080735631317325,0.09690214399908974,0.09880348646350265,0.09646494889920221,0.10582522172493639,0.1042369954698903,0.09497559322453676,0.09350153200224386,0.09261525946227922,0.09106641182491675
mu,1.0,0.06685981151228272,0.3236700890849294,0.04752176800802651,0.3041028854069406,0.04188760777817389,0.04549271485360422,0.06407689878766698,0.05176534530721401,0.05097932747831208,0.03025363836150431,0.029016645254706624,0.03968031407527398,0.038698403238931325,0.036928857600483374,0.03652519212387979
E0,5 * 24513,6 * 24513,7 * 24513,8 * 24513,9 * 24513,10 * 24513,11 * 24513,12 * 24513,13 * 24513,14 * 24513,15 * 24513,16 * 24513,17 * 24513,18 * 24513,19 * 24513,20 * 24513
L,0.011352833099399518,0.0001929236318120862,0.0004974641597456052,0.00020523967009589456,0.0005700583510305469,0.00023818716329725953,0.00026109212667072224,0.00032155952259226397,0.00031138523372681174,0.00032717040594112777,0.00027587162110937104,0.00028425429710729293,0.0003375066077802959,0.000348355926683076,0.0003550426215023135,0.0003669835248024409
