 ,Germany20_0,Germany20_1,Germany20_2,Germany20_3,Germany20_4,Germany19_0,Germany19_1,Germany19_2,Germany19_3,Germany19_4,Germany18_0,Germany18_1,Germany18_2,Germany18_3,Germany18_4,Germany17_0,Germany17_1,Germany17_2,Germany17_3,Germany17_4,Germany16_0,Germany16_1,Germany16_2,Germany16_3,Germany16_4,Germany15_0,Germany15_1,Germany15_2,Germany15_3,Germany15_4,Germany14_0,Germany14_1,Germany14_2,Germany14_3,Germany14_4,Germany13_0,Germany13_1,Germany13_2,Germany13_3,Germany13_4,Germany12_0,Germany12_1,Germany12_2,Germany12_3,Germany12_4,Germany11_0,Germany11_1,Germany11_2,Germany11_3,Germany11_4,Germany10_0,Germany10_1,Germany10_2,Germany10_3,Germany10_4,Germany9_0,Germany9_1,Germany9_3,Germany9_4,Germany8_0,Germany8_1,Germany8_2,Germany8_3,Germany8_4,Germany7_0,Germany7_1,Germany7_2,Germany7_3,Germany7_4,Germany6_0,Germany6_1,Germany6_2,Germany6_3,Germany6_4,Germany5_0,Germany5_1,Germany5_2,Germany5_3,Germany5_4
beta,0.0,0.06827115712324584,0.4935152793893827,0.6724532155310801,0.8742344391923013,0.41446939177244585,0.0,0.7787040815422973,0.93753342802012,0.4675278124522089,0.5770472807828089,0.280130983115682,1.0,0.32411570693712555,0.6982731132115765,0.7109980283432424,0.3134821331178295,0.8999999981212674,0.2053581887736107,0.12672031126302447,0.0,0.010557921680016557,0.49895000088836217,0.0,0.7232314442246853,0.6582119784379419,0.24477791395468487,0.49706717684235396,0.181764300652759,0.8620397992715223,0.3624477966537937,0.4831426946128382,1.0,0.347068650891487,0.9033138202548856,0.6430644794352377,0.6769439393219002,0.34655335083297845,0.7933058152030632,0.6788812075663107,0.36012473481949864,1.0,0.3174511391518474,0.006003688937976244,0.0,0.4124187795494651,0.6109586111944774,0.5296043290836812,0.1586714320598781,0.17299710515920674,0.19318963803331587,1.0,0.6753489458378615,0.9112317911063214,1.0,0.7082276333616702,0.9999514660651618,0.02099075142567542,0.1963643791585334,0.2000003552713679,0.0,0.0,0.4259974639990161,0.21239319778068677,0.42713096718070476,0.6914064923465774,0.6999999996963041,0.9787419885809053,0.9999999999974782,0.6646441355659117,0.9664770601775415,0.2804347251567647,1.0,0.1140373918628561,1.0,0.500435829397168,0.3970306428859277,0.4528819360780506,0.994321684155205
sigma,0.06546858043007071,0.7647516688951016,0.7985586264153847,4.669251182735192e-05,6.795996055252606e-05,0.37307426707328956,0.0056273726316298685,2.7637900898432724e-05,1.0,0.9845715775957529,0.8961606074999854,0.6369232775966956,2.708165719008989e-05,0.9749914417886952,0.7546824822536757,0.008329180130964222,0.8958986387040584,0.00014687671634362441,0.1431381272129485,0.1381451825727475,0.7794173480981008,0.018773983674841684,0.7004242553348786,0.3999541796761886,0.7247342536035699,0.9978967685838841,0.8187963741050631,0.5477581418573011,0.5934221492262125,0.8384634028571438,4.7852636545729316e-05,0.5980146755492621,2.7173799648164957e-05,0.8238797604799192,0.24355569507011227,0.6054235509601785,0.9105456510507678,0.00842649520405499,2.9851346443651988e-05,0.9644755055651602,0.7211912675035912,0.00848105324034227,0.33879754262832523,0.013875109242699928,0.9297764061126761,0.6521874918775008,0.008710936681263793,0.548824767962769,0.07635586011719088,0.20280038153904997,0.00020705053313354086,0.00848878678323322,0.6344299848135941,0.8825557344971408,0.35872679828274157,0.6666106522630476,0.6008175142095238,0.030129173369686593,0.6008383038863376,0.0,0.0,0.9194622759779233,0.4598364347766801,0.9295661167332945,0.0,0.6443649649750478,4.1560097175009496e-05,0.1717669523218206,2.7424574065326505e-05,0.6495159489735344,4.0084440683789174e-05,0.3820709633062864,0.3485251783972961,0.1533114349483119,0.008539247509369356,0.8800107393848859,0.4425254583105021,0.5263734850391574,0.7025214444311834
gamma,0.05698636686468672,0.7471013400922791,0.0879524141650699,0.29851572409016736,0.29087694981444323,0.8318849163203924,0.22164869263406445,0.29442952827358254,0.15634401923174374,0.08406500698962376,0.09384093840498375,0.076820936634389,0.2885369317101124,0.07675444771349417,0.15249089940759264,0.22978443387079292,0.9306161594788053,0.6999999720218136,0.5952201217584121,0.20499149561041052,1.0,0.20444836171528488,0.0992888068681492,0.8999954930530265,0.9898746804483319,0.10126565327848287,0.8064188810301643,0.15314802609896513,0.07153821349267911,0.3468087491696536,0.3352389595688708,0.11608398479633059,0.28951838659496715,0.8679548461809463,0.048496970179904814,0.4255432584942982,0.11161597773306593,0.2724702437653123,0.4789319927619752,0.10834730909127238,0.09104994368934329,0.22099809106617996,0.2043382339483621,0.20646246306645427,0.04206445613365015,0.10155137959378104,0.23542229880484403,0.6590583802890149,0.6610286674499801,0.16046501033030788,0.4442673545304386,0.22164970703290346,0.4572997660027639,0.4007930222489392,0.047679390244474644,0.4616035050395775,0.049183744603624256,0.20466084964059866,0.9001731260937497,0.7999026556452009,0.5914698096495298,0.8262025106073579,0.20640854122633842,0.9999528184712123,0.5291073666223363,0.49996263397242025,0.4999999975086152,0.049815461410606846,0.2921907516144553,0.46233404824397345,0.2940071998897607,0.1320769482294693,0.04812154212573317,0.14825485274076108,0.22382104610452488,0.1229876748560643,0.2074281882863814,0.17944872276979554,0.05205394517978984
mu,0.27064170784978003,0.2745724832047387,0.04196148981097267,0.6007902202306287,0.4027959893584842,0.0033559858326136604,0.9904729852118306,0.9998821525205237,0.007856653037440866,0.0585987037386271,0.037971777015193435,0.08347474848592548,0.999999986596888,0.09059982116625664,0.011343642595874672,0.004407405465323478,0.20874277178884323,0.29999999830708035,0.0029847299783384846,0.04802275953110562,0.38904314053102257,0.38083195610468196,0.0369665176972071,0.3891034115711818,0.016543123440713455,0.03659433363269947,0.2542994834805074,0.018552230380479588,0.13717576883237756,0.0028815605229622026,0.6579225913357919,0.03012174737947918,0.9999999867749294,0.2139153383516821,0.0019106861496768091,0.0027826065791052637,0.030390908662618836,0.004852309781312655,0.9109585275211629,0.03400746489907895,0.08176544423237019,0.004264065652402747,0.02690952997744945,0.6808387719606465,0.5445154338340167,0.060895972359831615,0.004354826716207041,0.037317785605248566,0.0031909780044787357,0.06459716930551462,0.20276348032720068,0.0042689099135344065,0.00279442863393482,0.002958252327164553,0.0019109265434473072,0.002777026907542858,0.0019105217604352273,0.4201376701336296,0.397058146739151,0.0,0.0,0.7781861178047873,0.028005979941001038,0.5042702184499719,0.0,0.0027490035123395413,0.8999999995735976,0.0019185074895599536,0.9999999875476104,0.008180581571798861,0.6886285002130196,0.08662740531365648,0.001910808041036525,0.1700878556520383,0.0042785340819107365,0.08347338477006996,0.04430919641981517,0.0443871810809418,0.0019098458236636996
E0,20 * 24513,20 * 24513,20 * 24513,20 * 24513,20 * 24513,19 * 24513,19 * 24513,19 * 24513,19 * 24513,19 * 24513,18 * 24513,18 * 24513,18 * 24513,18 * 24513,18 * 24513,17 * 24513,17 * 24513,17 * 24513,17 * 24513,17 * 24513,16 * 24513,16 * 24513,16 * 24513,16 * 24513,16 * 24513,15 * 24513,15 * 24513,15 * 24513,15 * 24513,15 * 24513,14 * 24513,14 * 24513,14 * 24513,14 * 24513,14 * 24513,13 * 24513,13 * 24513,13 * 24513,13 * 24513,13 * 24513,12 * 24513,12 * 24513,12 * 24513,12 * 24513,12 * 24513,11 * 24513,11 * 24513,11 * 24513,11 * 24513,11 * 24513,10 * 24513,10 * 24513,10 * 24513,10 * 24513,10 * 24513,9 * 24513,9 * 24513,9 * 24513,9 * 24513,8 * 24513,8 * 24513,8 * 24513,8 * 24513,8 * 24513,7 * 24513,7 * 24513,7 * 24513,7 * 24513,7 * 24513,6 * 24513,6 * 24513,6 * 24513,6 * 24513,6 * 24513,5 * 24513,5 * 24513,5 * 24513,5 * 24513,5 * 24513
L,0.011282088802768056,15.16941519740411,0.00039564477626487064,0.00012976591850917974,0.00012418549051107928,0.0427482512593342,5.558538403643971e-05,0.00012711651643481484,9.184165383653738e-05,0.0004106642393020458,0.00035431301650002783,0.0004943876690289517,0.0001230520221282034,0.00047157924855535915,9.654459465275117e-05,6.289003271497702e-05,15.169414455930706,0.06891907213948212,0.0004548350074335413,4.904923116422115e-05,15.169414810944769,4.925326519624925e-05,0.00032164539414660773,15.169414428360621,0.16838704723622627,0.00029500843819879824,15.16941457479424,0.00010071673711831444,0.0005441623011048035,0.0001395889019624281,0.00015795146299495157,0.00023580448346296283,0.0001237228450955514,15.169414550576835,0.0013688003625767643,0.00022057992474470254,0.00024921316930839616,8.761549385202666e-05,0.047798331778674784,0.00025948733341296014,0.00036736131463171556,5.906246243254354e-05,4.812978446062362e-05,4.933298683257983e-05,0.0009883639583592552,0.00030445315767199546,6.717455271557575e-05,0.12759976249130323,0.0005997130075153803,8.082067397978594e-05,0.0002632995340769191,5.939758403730107e-05,0.0002564636766892621,0.0001940651005773205,0.0013169407219296605,0.00026467330605500756,0.0014131544213447274,4.9227777657131075e-05,15.169408724534291,15.89772670057945,15.897725543305551,15.169414992103587,5.106563670609306e-05,15.169415462580204,15.89772681013035,0.00032032020991353645,0.022168561566020935,0.0014617659873833874,0.00012556112561379844,0.0005638282879303352,0.00012649087727057752,0.00016787583390528706,0.0013448609223290827,0.00011645822148160766,6.064012416653041e-05,0.00018786714000333294,5.0749721026626376e-05,5.618831000708606e-05,0.0016397927325106196
