seed=1,Germany5_0,Germany5_1,Germany5_2,Germany5_3,Germany5_4,Germany5_5,Germany5_6,Germany5_7,Germany5_8,Germany5_9,Germany6_0,Germany6_1,Germany6_2,Germany6_3,Germany6_4,Germany6_5,Germany6_6,Germany6_7,Germany6_8,Germany6_9,Germany7_0,Germany7_1,Germany7_2,Germany7_3,Germany7_4,Germany7_5,Germany7_6,Germany7_7,Germany7_8,Germany7_9,Germany8_0,Germany8_1,Germany8_3,Germany8_4,Germany8_5,Germany8_6,Germany8_7,Germany8_8,Germany8_9,Germany9_0,Germany9_1,Germany9_2,Germany9_3,Germany9_4,Germany9_5,Germany9_6,Germany9_7,Germany9_8,Germany9_9,Germany10_0,Germany10_1,Germany10_2,Germany10_3,Germany10_4,Germany10_5,Germany10_6,Germany10_7,Germany10_8,Germany10_9,Germany11_0,Germany11_1,Germany11_2,Germany11_3,Germany11_4,Germany11_5,Germany11_6,Germany11_7,Germany11_8,Germany11_9,Germany12_0,Germany12_1,Germany12_2,Germany12_3,Germany12_4,Germany12_5,Germany12_6,Germany12_7,Germany12_8,Germany12_9,Germany13_0,Germany13_1,Germany13_2,Germany13_3,Germany13_4,Germany13_5,Germany13_6,Germany13_7,Germany13_8,Germany13_9,Germany14_0,Germany14_1,Germany14_2,Germany14_3,Germany14_4,Germany14_5,Germany14_6,Germany14_7,Germany14_8,Germany14_9,Germany15_0,Germany15_1,Germany15_2,Germany15_3,Germany15_4,Germany15_5,Germany15_6,Germany15_7,Germany15_8,Germany15_9,Germany16_0,Germany16_1,Germany16_2,Germany16_3,Germany16_4,Germany16_5,Germany16_6,Germany16_7,Germany16_8,Germany16_9,Germany17_0,Germany17_1,Germany17_2,Germany17_3,Germany17_4,Germany17_5,Germany17_6,Germany17_7,Germany17_8,Germany17_9,Germany18_0,Germany18_1,Germany18_2,Germany18_3,Germany18_4,Germany18_5,Germany18_6,Germany18_7,Germany18_8,Germany18_9,Germany19_0,Germany19_1,Germany19_2,Germany19_3,Germany19_4,Germany19_5,Germany19_6,Germany19_7,Germany19_8,Germany19_9,Germany20_0,Germany20_1,Germany20_2,Germany20_3,Germany20_4,Germany20_5,Germany20_6,Germany20_7,Germany20_8,Germany20_9
beta,1.0,0.6331853296803547,0.8671094533391077,1.0,0.43479732239036417,0.9570201062686035,0.41693340173844984,0.9663156570059859,0.019472861755152285,0.461845656419606,0.5311504108066433,0.43518519321335614,0.5647232015087013,0.11390406433767243,0.5507910659044104,0.8238996417682952,0.868437633936641,1.0,0.29695044421954225,0.4898274802620117,0.5267758608728806,0.19863317020451704,0.6717608454846897,0.4325176250887713,0.9451575973228445,0.8900738942861572,0.945707059234536,0.9832621461329824,0.03680797803303096,0.44764834609695736,0.19294411044805854,0.8305989232561215,0.4416118495567495,1.0,0.9299999999040502,0.6028141162580966,0.2716394286054952,0.03831320777526262,0.3359911804766953,0.39225241015157447,0.0,0.8636578926101499,0.7889256455630956,0.25843887648125313,0.5699665703808214,0.8625181287743012,0.7845907859567988,1.0,0.5339879402156946,0.13875195265261359,0.9836514376941888,0.20888284307280217,0.3273876540897085,0.010325739104212434,0.6497455395970518,1.0,0.46969383266212883,1.0,1.0,0.1532079819020907,0.2967059020712024,0.7096060997171427,0.8193656726242087,0.0,1.0,0.19406313790144097,0.01775460497653997,0.33624365480881574,0.038382274177591526,1.0,0.05700707863344243,1.0,0.8994303993793513,0.08341997513287473,0.3600294767897853,0.10828735699042379,0.011998751729465521,0.41927678137880126,0.5292567442374532,1.0,0.6664449754635926,0.9073547746895798,0.6354423476391416,0.9305942945762179,0.058093005897042034,0.6022458337266188,0.2807087166510751,0.4298218745135322,0.5898695745194015,0.0,0.44495293661643576,1.0,1.834373935555781e-05,0.832222859809387,0.5624242198186314,1.0,0.6778572830896257,0.9859085806386167,0.1116694185863498,1.0,0.0034768918356523353,0.7083055388442947,1.0,0.6038511074854562,0.5602408396069831,0.21138372810891273,1.0,0.0031657260094818057,0.23742361533135528,0.1956804399799976,0.0007068502288780738,1.0,0.31705353184120344,0.4868703529807997,0.25805431268657,0.5445313331976425,0.5131134679064692,1.0,0.3447961347170899,0.33769495732216626,0.4005395872368075,0.16263764710430506,1.0,0.3032035653600334,0.13972314188804622,1.0,0.001040505567028885,0.4217690282339769,1.0,0.3799920074732202,0.665871050078913,1.0,0.4130315683439528,0.3789940511300927,0.28560938990545226,0.5927662591815129,0.03131312100990416,0.9226958012166634,1.0,0.5414892173617667,0.43554757559208196,0.6090108778183992,1.0,0.8035737400201589,2.007745765043083e-05,0.6132631618507725,0.9896699328038057,0.9535845110428434,0.4425704379682655,0.0,0.21154509568309096,0.9458425655426699,0.7197214726930242,0.2817477078080752,0.6638808765074109,0.4507559086295965,0.5311284312940655,0.6461192833685944,0.6174336631936473
sigma,4.146986418237009e-05,0.6585685121789268,0.8490690414562903,0.3454134728011194,0.482993428458355,1.0,0.46125778065311646,0.0012667058224401723,0.02951233178996072,0.5119493651957152,0.5793145598884973,0.5571166938793473,0.00020395540725241034,0.13197877010246534,3.5936872242067876e-05,0.0019718974328828184,0.008494011555743324,2.747857701659047e-05,0.32961887585055316,0.4317693318756763,0.47296718790133,0.21477698490701985,0.6238641880775223,0.47041399934960043,0.5173710258138084,0.6991883000830369,0.32746193359455195,0.95021581367552,0.39160813012445367,0.8995702373423597,0.2135401575609148,0.999999995756747,0.5952190605005316,2.7377046191045166e-05,3.642006563455737e-05,0.5541209738960524,0.9196068895561479,0.615933287375656,5.426200786290803e-05,0.42135371640811536,0.6801451529278563,0.8527339466172275,0.00024051384041442087,0.28165348204659374,0.8533012359896373,0.008581190715927703,3.196790922523533e-05,0.9713845379704948,0.0003930819479288296,0.1593826080141398,0.008536530774667468,0.9814500231486989,0.267882592041397,0.01877145846874718,0.6074899592910372,2.7296704570681516e-05,0.5914311038399854,0.00011001216689804724,2.7296704570681516e-05,0.1668022077591821,0.23679380046521717,1.0,9.848254504525299e-05,0.0,8.273583899849698e-05,0.3842535165654021,0.026495064402648327,0.2451763107000556,0.04809476318018083,0.008526150632278946,0.06733278071424026,0.6634574294807901,0.9970280675709925,1.0,0.3833750554105724,0.12080242042442102,0.41068418254046807,7.894298739393683e-05,0.5456150286066497,0.36536934635833485,0.24928713501311717,1.0,0.7838501660802203,0.008538063376364613,0.06826007050927578,0.8441235951437293,0.22132850157679856,0.3813768171874976,0.5691076514623126,0.9482148468865174,0.6453026945098914,0.008690125295198838,1.0,0.8235670617954973,0.8885111377471937,2.7173799648164957e-05,0.7119926907173453,0.006643430557249184,7.440980167344971e-05,2.71485644736227e-05,0.007197705373477891,0.991853434237337,3.499277333865593e-05,0.9856811761956793,0.7961999723443107,0.9405529707742072,2.71485644736227e-05,0.00915631068599306,0.950016056733505,0.8441273988020339,0.00861437933428979,0.008453328474076954,0.9285866495742634,0.4458330204031193,0.20087306399687574,0.5690925363074609,0.5640691927599696,0.008468744871325066,0.36843297492395827,0.00038344295543520475,0.6965250082815277,0.02171492553134319,0.682773039843944,7.433697135821304e-05,0.0620097024141002,0.9954678837084339,0.37268272508573136,0.7505508865651175,2.7102646751768835e-05,0.33564349171884583,0.008197965381941879,0.008484007320820951,0.33446989047261483,0.3642813382298507,0.30073297846619285,0.5594929116191378,0.04792443511252905,0.0031963796318088054,0.008474503067926745,0.562012573227109,0.4770956942505144,4.6204044268771266e-05,2.7061794182199043e-05,0.5530455087687218,0.9112212618450951,0.7247178665552855,0.9880879648028781,0.00012831296716554188,0.6043592831647762,0.0,0.22893752381553875,0.0003609322364402542,0.7475387538966126,0.23107048864867596,0.8687309317593701,0.4116756026730859,0.7933801481961278,0.978703824122989,0.9466918921167289
gamma,0.11475552338978891,1.0,0.4786819532465313,0.048272818936170754,0.2079683916942589,0.25877508939288113,0.9453932668322109,0.2833528623460625,0.20482209676883814,0.20830780870860421,0.20825565847390787,0.1421496881035243,0.3130727612686144,0.20547651569898087,0.31565741456040164,0.2812422638625557,0.22749801482137616,0.2927659718777768,0.20651550019399195,0.6008952179132137,0.5618368320277602,0.4863769033965744,0.5055481576940912,0.20639954741697714,0.04947078825312396,0.057012816060944056,0.04836605515243238,0.4329733967142186,0.9002952281546784,0.10832938725944839,0.20518751863585694,0.1432491373776441,0.12351631179611354,0.29168439363822196,0.48999999664840777,0.5071520210059325,0.09002089812839732,0.4682590587479325,0.3514905786715835,0.20676178098834547,0.6900061658680398,0.387780211887511,0.2960724208682901,0.20366529485466187,0.114089635805073,0.22526712676116384,0.29817397228825576,0.38974931382760725,0.3111559071362988,0.1831645357889989,0.2216804938719883,0.0790488002647515,0.5950925609665901,0.20446691640951445,0.4632957116472512,0.2908231748014959,0.3441919425748183,0.29013199227664216,0.2908231748014959,0.21239476303515556,0.6028298439484504,0.11424523097582305,0.2951618980353334,0.999717416883673,0.29015037427401685,0.08558073743341223,0.2045556523177858,0.16676570875957009,0.2047788464434843,0.22068674056978965,0.20494144212708945,0.04963992646323502,0.15291734152935238,0.9970179007475256,0.2031354083901961,0.2050769564058035,0.7801116648398606,0.3258865211315541,0.9499569124648461,0.04744152586718272,0.05151742797709113,0.15222200896703822,0.1202311224597327,0.2219708662010105,0.20481661056463657,0.10751243374772833,0.5732958976268782,0.5018517542082166,0.42921203662523266,0.9356875974538652,0.10005572667837542,0.2189159115104773,0.042031639672568975,0.3359900912504337,0.09935017052870133,0.28951838659496715,0.1962238195896549,0.23410810237811264,0.7409819383186882,0.2892498060220408,0.23652186658091048,0.1056603213270556,0.28923100822127407,0.0976478081708311,0.10175589895306514,0.6557218003080741,0.2892498060220408,0.21964513295991842,0.8205030505076902,0.06991205992771457,0.20442413144383537,0.22009480155268332,0.9939651120315526,0.4492139899679296,0.5636802341860161,0.20165529204482324,0.1511428107446837,0.22000738490861207,0.18673613932352467,0.33543604255144066,0.08713283437807046,0.7983102371173797,0.04933156499319969,0.34859017497224926,0.6428173927107446,0.2858445095930594,0.9602258037155954,0.08736372069305487,0.28876056831641755,0.4825635994242009,0.23254134065437426,0.21942811573897059,0.13058007412602868,0.8207008533431789,0.2051364057591579,0.39210583706445007,0.15894861967502544,0.2623984518161361,0.2194966893822787,0.20370288002382406,0.1495804124824139,0.302318623999521,0.28832529836151066,0.7303956345838494,0.5432702336147969,0.11471349679156456,0.26905222670800466,0.2879974125138519,0.09523193616244968,0.999473539159468,0.18405417233656668,0.2861173127204887,0.19136278175890506,0.514000874137435,0.10078597148943541,0.4256572000752379,0.09132613189535399,0.09363108892733722,0.09260558074524723
mu,0.9999999955292531,0.06462342027712809,0.005935129707120354,0.0019107671943117762,0.039941083838158545,0.012209751926502687,0.17507602161902264,0.02276596967838463,0.7692918547871717,0.03726825424225354,0.027603913568352414,0.05400625665954497,0.1456345865555244,0.13912178812061923,0.824517656695849,0.015184682911514067,0.004332198710181634,0.9999999884538731,0.05244483328125919,0.0028306313333372464,0.0028097470513867105,0.12373328885420572,0.0027473290463766358,0.030830882676305894,0.0019104584502527202,0.0019085228491340517,0.0019072163654435268,0.002901514457590587,0.7735234337857454,0.09032877843208867,0.06400522983301034,0.023369502051340276,0.05199148049191349,0.9999999875053014,1.0,0.0027449389094946182,0.15579772515106555,0.679789294096017,0.6085579400733795,0.027586589560864006,0.6917453962951414,0.005131686862527132,0.11715376802694674,0.04313537710788804,0.049252042357336996,0.00428223004572135,0.8755529532650108,0.0028352884845805164,0.07597988374443918,0.07842637937812635,0.004255660946561345,0.17794812510153796,0.002858268507916848,0.6089162013523272,0.002777417340572058,0.9999999876128803,0.11199908680303879,0.24891181970644288,0.9999999876128803,0.05864079796371777,0.002905899868233835,0.03480603614224174,0.28262177306834874,0.0,0.33031979857432303,0.12045202527567941,0.39161602822339814,0.0019091415496638186,0.214784741831988,0.004247593247763258,0.1402107712179882,0.0019104150380357544,0.01300732605822638,0.4528881842830032,0.023736745820628402,0.07750653095227435,0.49909015125595274,0.38857344347135736,0.045738111536645816,0.0019110066775209996,0.0019098396081162403,0.012047394734775589,0.025370500776675197,0.004258372227165862,0.12781293440044594,0.035963733142356694,0.002830728452836329,0.0027884047865529126,0.004863118086989685,0.44469169968343997,0.04522525468833523,0.004182948608191054,0.46659180697974395,0.004375591651292346,0.044488733015605526,0.9999999867749294,0.011047865704749912,0.005128377915903555,0.97103583799429,0.9999999867307051,0.911053631963822,0.030175574137537946,0.7761739372809142,0.043087213560481764,0.03626131096415884,0.2788858855507216,0.9999999867307051,0.7782541347397147,0.27362326266240233,0.13943194791878682,0.8309487566884183,0.004261947446099337,0.22445828889445896,0.0028097393798948286,0.002886157163173281,0.012016995334770304,0.017184317831481888,0.004256870674571532,0.020607839762013958,0.08377504291497698,0.05621729329785238,0.0054137751416170775,0.001910440978034943,0.44105471595756385,0.0034059847735340774,0.0034696215281398227,0.3650355453860919,0.05602390602856538,0.9999999867509085,0.0028810609268843275,0.0044800155241846345,0.004245812062821237,0.0018959588024606304,0.012459967350182085,0.020519979765245236,0.0028118849030000304,0.16745124054160654,0.009511434240945228,0.004249324929696156,0.010254903610192294,0.017265373570559815,0.6149105138490786,0.9999999864950971,0.0018222569155953092,0.327602291464892,0.01860430392776601,0.003493669425282555,0.21208194764497207,0.034391262514082116,0.0,0.02738372092124684,0.07612727126537158,0.0077262810571852684,0.002856646288836827,0.023548117743059985,0.0027858272475693793,0.03558070851010461,0.03239343622499578,0.03396335335327961
E0,5 * 24513,5 * 24513,5 * 24513,5 * 24513,5 * 24513,5 * 24513,5 * 24513,5 * 24513,5 * 24513,5 * 24513,6 * 24513,6 * 24513,6 * 24513,6 * 24513,6 * 24513,6 * 24513,6 * 24513,6 * 24513,6 * 24513,6 * 24513,7 * 24513,7 * 24513,7 * 24513,7 * 24513,7 * 24513,7 * 24513,7 * 24513,7 * 24513,7 * 24513,7 * 24513,8 * 24513,8 * 24513,8 * 24513,8 * 24513,8 * 24513,8 * 24513,8 * 24513,8 * 24513,8 * 24513,9 * 24513,9 * 24513,9 * 24513,9 * 24513,9 * 24513,9 * 24513,9 * 24513,9 * 24513,9 * 24513,9 * 24513,10 * 24513,10 * 24513,10 * 24513,10 * 24513,10 * 24513,10 * 24513,10 * 24513,10 * 24513,10 * 24513,10 * 24513,11 * 24513,11 * 24513,11 * 24513,11 * 24513,11 * 24513,11 * 24513,11 * 24513,11 * 24513,11 * 24513,11 * 24513,12 * 24513,12 * 24513,12 * 24513,12 * 24513,12 * 24513,12 * 24513,12 * 24513,12 * 24513,12 * 24513,12 * 24513,13 * 24513,13 * 24513,13 * 24513,13 * 24513,13 * 24513,13 * 24513,13 * 24513,13 * 24513,13 * 24513,13 * 24513,14 * 24513,14 * 24513,14 * 24513,14 * 24513,14 * 24513,14 * 24513,14 * 24513,14 * 24513,14 * 24513,14 * 24513,15 * 24513,15 * 24513,15 * 24513,15 * 24513,15 * 24513,15 * 24513,15 * 24513,15 * 24513,15 * 24513,15 * 24513,16 * 24513,16 * 24513,16 * 24513,16 * 24513,16 * 24513,16 * 24513,16 * 24513,16 * 24513,16 * 24513,16 * 24513,17 * 24513,17 * 24513,17 * 24513,17 * 24513,17 * 24513,17 * 24513,17 * 24513,17 * 24513,17 * 24513,17 * 24513,18 * 24513,18 * 24513,18 * 24513,18 * 24513,18 * 24513,18 * 24513,18 * 24513,18 * 24513,18 * 24513,18 * 24513,19 * 24513,19 * 24513,19 * 24513,19 * 24513,19 * 24513,19 * 24513,19 * 24513,19 * 24513,19 * 24513,19 * 24513,20 * 24513,20 * 24513,20 * 24513,20 * 24513,20 * 24513,20 * 24513,20 * 24513,20 * 24513,20 * 24513,20 * 24513
L,0.3577821546896506,0.18930798777271265,0.000557582126295355,0.0013544830183198516,5.051325776440219e-05,8.589213560652121e-05,0.296057494199886,0.00010916227736950397,4.919372807909336e-05,5.027691211513051e-05,5.0497010479292775e-05,0.00013125397749434923,0.00013897166962050002,4.8588539194015374e-05,0.00014299793255717085,0.00010282818559436964,6.230133619935229e-05,0.00012595986956102798,5.103815681745456e-05,0.00046484079450524046,0.0004035997492354797,0.0669706833009457,0.00033128212956499287,5.102763299208391e-05,0.0014318968153373389,0.0019694790819718734,0.0013701144552973137,0.00023171032536288677,15.169411332688915,0.00025403276602424264,4.8279793624151934e-05,0.0001251764935160639,0.00019845371135032797,0.0001252114259235293,0.02335841311601133,0.0003350289647515963,0.00036020986430845977,15.169414091380858,0.00017137906087587833,5.112717090037767e-05,15.169414998920931,0.0002921039926524015,0.0001262418099892416,4.8048480548390114e-05,0.00023321206913987238,6.151068748196061e-05,0.00012962779953413567,0.0001832226131381859,0.00013579823676626083,5.376411754216937e-05,5.958941143925317e-05,0.0004469326353253892,0.0004593033034791198,4.925128056088424e-05,0.0002669064958111937,0.00012461969730784322,0.21113466332826536,0.0001233142851911347,0.00012461969730784322,5.197944482123382e-05,0.00046358921226980534,0.00022776534654120749,0.0001269078878463187,15.897725864632395,0.0001234903635703135,0.0004441670816615893,4.923976416706704e-05,0.007822941641496604,4.919998160813098e-05,5.9064872237752005e-05,4.916579862549389e-05,0.0014430113798002235,0.00010080131318357118,15.169415830666114,4.811890984078555e-05,4.903267148487982e-05,15.16941439156869,0.00015002272619855662,0.22980822268893578,0.0013020230299766332,0.001569260676592831,0.00010298329740540412,0.00021498220447279398,5.973479949680432e-05,4.916922188352124e-05,0.00026783920188848035,0.00042995917019440967,0.0003168514313451686,0.00038206274793538503,15.16941517084029,0.0003190508114271009,5.8820909678664064e-05,0.0009861312754575705,0.0001812131828144717,0.00031032817040566664,0.0001237228450955514,4.8243598828825304e-05,6.220181845031879e-05,0.0009364239580384962,0.00012353847942312175,6.984079412585186e-05,0.00027528772217859257,0.00012340115364769082,0.00031544251760549414,0.0003051373649020904,15.169413548643181,0.00012353847942312175,5.4806645650371766e-05,15.169414875858783,0.0005436870540265298,4.926705131827718e-05,5.853493173873032e-05,15.16941421275258,0.00024836910241688435,0.00040389940005173435,4.7861460586505535e-05,0.0001025573017582175,5.853610121568823e-05,5.6080964695451e-05,0.00015493234834129148,0.0004011422122046038,0.06150751812716822,0.0014228449136841849,0.00016870842156330493,0.0005336379549852188,9.659892321244703e-05,15.169414248500122,0.0003977245213046702,0.00012320446720770324,0.00028814533367393274,6.39093631795768e-05,5.8319067077475276e-05,0.007251417975274521,0.05274004979415779,4.8682321399785074e-05,0.0001845596227279892,8.722716693911167e-05,8.441641992058784e-05,5.8318713331147385e-05,4.833797057187465e-05,0.0001088150778180137,0.00013257030739767783,0.00012290789516463592,15.169413793332703,15.169413763373461,0.000244623689796112,8.24846774161676e-05,0.00012260635444789303,0.00035808583029863704,15.897725862249299,5.279786800048849e-05,0.00011854405650018366,5.2605095034582006e-05,0.0003341666693378054,0.0003085237305383953,0.00021997028032287475,0.00037464996074125734,0.0003473577848461437,0.00035675847126598385
