 ,Germany5_0,Germany5_1,Germany5_2,Germany5_3,Germany5_4,Germany6_0,Germany6_1,Germany6_2,Germany6_3,Germany6_4,Germany7_0,Germany7_1,Germany7_2,Germany7_3,Germany7_4,Germany8_0,Germany8_1,Germany8_2,Germany8_3,Germany8_4,Germany9_0,Germany9_1,Germany9_2,Germany9_3,Germany9_4,Germany10_0,Germany10_1,Germany10_2,Germany10_3,Germany10_4,Germany11_0,Germany11_1,Germany11_2,Germany11_3,Germany11_4,Germany12_0,Germany12_1,Germany12_2,Germany12_3,Germany12_4,Germany13_0,Germany13_1,Germany13_2,Germany13_3,Germany13_4,Germany14_0,Germany14_1,Germany14_2,Germany14_3,Germany14_4,Germany15_0,Germany15_1,Germany15_2,Germany15_3,Germany15_4,Germany16_0,Germany16_1,Germany16_2,Germany16_3,Germany16_4,Germany17_0,Germany17_1,Germany17_2,Germany17_3,Germany17_4,Germany18_0,Germany18_1,Germany18_2,Germany18_3,Germany18_4,Germany19_0,Germany19_1,Germany19_2,Germany19_3,Germany19_4,Germany20_0,Germany20_1,Germany20_2,Germany20_3,Germany20_4
beta,0.0017502605218008868,0.06062099294261532,0.5874013295087136,0.6653277512212278,0.8673222742680737,0.7026003049700746,0.01019381098531559,0.7999999996247003,0.3710371045513529,0.7776761371500094,0.9205062466379401,0.4460331603076466,0.9999999999974782,0.5446750099306035,0.5004255530295714,0.5157613695424437,0.5953658065980092,0.8695925190686505,1.0,0.2318415043145182,0.015591167344862664,0.004553502146310757,0.5234755681570897,0.0,0.7127771885627379,0.27005045591772225,0.30316263967381196,0.8667501254537301,0.4215603121568721,0.8078618759557942,1.0,0.7542941347165428,1.0,0.20852326718439004,0.9768904687213075,0.6167933166190713,0.35015794894838553,1.0,0.18017974808596943,0.0,0.6200643546550929,0.18816541952366866,0.22333238370587755,0.0027831348705978035,0.0,0.013088889731211263,0.6501067578660128,0.4324551897448953,0.8891546185158969,0.29334724535277856,0.19193153518226902,1.0,0.17599567631699767,0.6586962470050004,0.9304785197933334,0.9411846290059316,0.9987259636202208,0.0,0.00854269217227735,0.1366470847840205,0.2000003552713679,0.0,0.0,0.201254519481428,0.15575862246343072,0.6196248102682248,0.7421887160019235,0.699999999739123,1.0,1.0,1.0,0.9658710199216818,0.20489945170152368,0.7981689551447188,0.08403563572687227,1.0,0.5721568034668498,0.99723678723095,0.2927665247463891,0.9961513100546221
sigma,0.07247874629379439,0.08840144616236152,0.76046721741284,4.8119988628789556e-05,6.948650955163673e-05,0.6541688911568513,0.01901988014751746,4.096206668375281e-05,0.5259342660800803,0.7942447813079352,0.9272319587644032,0.5981978541220971,2.7424574065326505e-05,0.5886561760917653,0.44523377411898263,0.008413003527574263,0.7896549525531118,9.121687835617103e-05,0.9709102145139812,0.25538734435280613,0.7275753885159068,0.012715266982157242,0.6852521733612751,0.40003644883133604,0.7164763140737925,0.7756307451640234,0.7991166918439508,0.835372600031086,0.6173665819582889,0.8667529196029454,0.0002516554096512626,0.9429135671045262,2.7269411476347484e-05,0.9065527640235154,0.21183502150728997,0.5768934460933994,0.7687070680692629,0.008501868022715528,6.732009660277116e-05,0.9361137460148755,0.6963847032991416,0.20328570357076076,0.37820742961855197,0.010775415770195087,0.9693544685185769,0.5473257750282571,0.19651134786245672,0.4743869264612221,0.007824109605690417,0.31881042257540343,0.00019854765265170507,0.008480905206566651,0.18959323128120575,0.6855190016046676,0.317594025852743,0.008682156495782386,0.37113133227733935,0.33985767177533627,0.016695812935125585,0.6517901009078858,0.0,0.0,0.9360542954206441,0.008417884419085033,0.9483082184352435,0.0,0.7166695121531937,4.1197966617597724e-05,0.3742623234494566,2.708165719008989e-05,0.9877762468446472,0.0001654649053725758,0.2225270564172238,0.2995587138404498,0.09743818052500086,0.008453133277596918,0.917626060903036,1.0,0.9018636086954138,0.706370644849404
gamma,0.05622640639472656,0.15673354114095597,0.14731212695254375,0.3076273533570954,0.29734593388735053,0.5269998976140414,0.20458475708094448,0.5999999963543631,0.12733390727975344,0.9511904192242147,0.989808687570382,0.12897012079746167,0.2921907516144553,0.20741215888804196,0.5705436715189628,0.24862912576038743,0.8688174476123518,0.29497228422123156,0.4132597623225599,0.20359340430027528,0.9999829298730115,0.20445432052042783,0.12379423253399525,0.9000032300632957,0.9855946725042479,0.08619216110363043,0.7996807150413375,0.41049581813213576,0.10861562531710084,0.1747797127089558,0.2884945091715769,0.12522651306916593,0.29048819813521887,0.9623835266624273,0.04861355563792424,0.4494181168463978,0.08916750118440073,0.22084600000973484,0.45745003770951903,0.0420606374983296,0.14595432990461857,0.2053029747694545,0.08814119810358607,0.20446861682261275,0.04204201769776728,0.05081801636744468,0.11108816235914738,0.5447471056275155,0.22788464286604207,0.1815245906155453,0.42676891182153537,0.22015002939713402,0.20520448639030422,0.2069039652451256,0.047864893980629424,0.2197551778254148,0.04725750085562114,0.04309253720065981,0.20443686998370367,0.9100734530137946,0.7998980371174185,0.6315966457995672,0.8470377824758669,0.3494167603002313,1.0,0.5863785322100779,0.3487180196678399,0.49999999745545043,0.04713801715393932,0.2885369317101124,0.27895072332617177,0.2878786550170923,0.1839448813075828,0.04888421791102692,0.185443810458434,0.219265069806981,0.09029258848284949,0.2540357311246805,0.7007057438854035,0.04945701540805221
mu,1.0,0.33136710483554044,0.04609022785535355,0.6007583817086035,0.40272158932808727,0.0028084349252206213,0.9998109750829342,0.9999999995948305,0.07416998386152933,0.03433835742734921,0.018851233906567993,0.05431963060572604,0.9999999875476104,0.023813890603032815,0.0028066554660635414,0.00459160813988541,0.30526549085305754,0.30478697533805754,0.0029661735299919252,0.05353809696435222,0.6685856772714525,0.9998330700252642,0.04067768085966408,0.6917504096712174,0.023406827232995135,0.13175141707087698,0.3039177713805008,0.002900646410561718,0.056101592835805,0.0983473811222676,0.10922729893920785,0.02497755815433405,0.9999999872635479,0.3819851203601267,0.0019120143642486801,0.002816545330067764,0.08918577821325412,0.004256227478654349,0.6381235124431403,0.5445108626880767,0.018321179742817034,0.042065547989969886,0.08766793950469336,0.8171846178510591,0.5026294611412071,0.528006473851021,0.09268413302654899,0.0704903282782826,0.004553023282518326,0.028092071431197504,0.20312837834950073,0.004254495315342546,0.03930904372542278,0.010128327508068065,0.0019108385858915321,0.004193711045558007,0.0019110415204443125,0.40833769426111827,0.42832487341776987,0.28832264403675295,0.0,0.0,0.36622140405528203,0.0057123678122617625,0.2873213452232224,0.0,0.0028601484758272967,0.89999999956,0.001911067208973906,0.999999986596888,0.002828472043008766,0.16482751721745112,0.029626973829866923,0.0019105937341643519,0.06759398232043316,0.004252665489355204,0.03799875975113372,0.0036331440858859737,0.18308980721873408,0.0019078495881410266
E0,5 * 24513,5 * 24513,5 * 24513,5 * 24513,5 * 24513,6 * 24513,6 * 24513,6 * 24513,6 * 24513,6 * 24513,7 * 24513,7 * 24513,7 * 24513,7 * 24513,7 * 24513,8 * 24513,8 * 24513,8 * 24513,8 * 24513,8 * 24513,9 * 24513,9 * 24513,9 * 24513,9 * 24513,9 * 24513,10 * 24513,10 * 24513,10 * 24513,10 * 24513,10 * 24513,11 * 24513,11 * 24513,11 * 24513,11 * 24513,11 * 24513,12 * 24513,12 * 24513,12 * 24513,12 * 24513,12 * 24513,13 * 24513,13 * 24513,13 * 24513,13 * 24513,13 * 24513,14 * 24513,14 * 24513,14 * 24513,14 * 24513,14 * 24513,15 * 24513,15 * 24513,15 * 24513,15 * 24513,15 * 24513,16 * 24513,16 * 24513,16 * 24513,16 * 24513,16 * 24513,17 * 24513,17 * 24513,17 * 24513,17 * 24513,17 * 24513,18 * 24513,18 * 24513,18 * 24513,18 * 24513,18 * 24513,19 * 24513,19 * 24513,19 * 24513,19 * 24513,19 * 24513,20 * 24513,20 * 24513,20 * 24513,20 * 24513,20 * 24513
L,0.011352833099399518,9.113881059115913e-05,0.0001161410924366828,0.0001363700853801223,0.00012870453240230827,0.00034908092037424257,4.924030885575854e-05,0.042888366028640386,0.0001852009476907196,0.14563443350254324,0.12413487836604212,0.0001791682171243478,0.00012556112561379844,5.0870050323198976e-05,0.0004153584868853786,7.328502532809439e-05,0.8121478798715305,0.0001268363876589618,0.00020559601011916134,4.809031122330014e-05,15.169415426453055,4.9260304231073174e-05,0.00019138198665031035,15.169414525630273,0.13611799772432095,0.0003944629953411529,15.169412196702524,0.00020221942397970322,0.00026707317604291646,2.7699075125839046,0.00012088937170677379,0.00019079217876153215,0.00012434959868578882,15.169415616116899,0.001375240878286356,0.00024806616414288534,0.00037534429357173284,5.9063390762197916e-05,0.0002801545752527081,0.000988162330044125,0.00012351686915009546,4.8799144385464235e-05,0.00042806984530693984,4.9264273975767286e-05,0.0009871493207116288,0.01654835973524294,2.7538076876529183,0.2264958069686738,6.0606403943371416e-05,5.426838447771043e-05,0.00024384445366559492,5.8654036821706875e-05,4.8903271562590756e-05,5.132505765717793e-05,0.0013286386082196945,5.9230264340095013e-05,0.001290576027612099,0.0010449221127257797,4.925632764873291e-05,15.169413938093129,15.897726665136775,15.897725598963943,15.16941525049362,0.00014492660042823735,15.169415056433172,15.897726810120393,0.0001412692734067251,0.023866051543816557,0.0012831616313183618,0.0001230520221282034,9.703685667006741e-05,0.00012125775685179981,5.288058023780645e-05,0.0013937323047026682,5.2392794314041884e-05,5.8127300886314895e-05,0.0003740169869971538,7.275162362033027e-05,15.169414590259246,0.0014368217707542885
