deaths
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
1
1
6
7
11
12
14
17
21
22
28
36
42
50
60
74
100
134
165
259
350
442
587
786
1011
1320
1726
2269
2744
3420
4196
5367
6511
7938
9260
10870
12375
13894
16191
18270
20288
22357
24366
26086
27870
30262
32760
34844
37428
39775
40945
42686
45086
47412
49724
51493
53755
54881
56219
58355
60967
62996
64943
66369
67682
68922
71064
73455
75662
77180
78795
79526
80682
82356
84119
85898
87530
88754
89562
90347
91921
93439
94702
95978
97086
97719
98219
98912
100417
101616
102809
103776
104381
105149
106180
107161
108197
109359
110068
110511
111011
111694
