removed
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
3
3
3
3
3
3
3
3
3
3
3
3
5
5
5
5
6
6
6
7
8
8
13
14
18
19
21
24
28
29
36
44
54
62
72
86
117
151
270
380
497
618
765
964
1359
1681
2407
3138
3816
6085
9840
12391
14985
16939
18967
25522
29823
33475
37954
41829
45698
51147
55636
59074
71352
78025
84856
89547
95973
104615
111282
115015
120290
124778
129927
150572
154127
161869
167643
174291
181687
216943
228958
241751
247834
256102
260855
263365
270698
276173
291329
295695
313415
312643
327549
332312
338277
357130
361827
373525
381313
387751
393120
446113
458325
464455
477376
483814
491925
501607
509255
520237
549139
563380
570048
586419
593199
601065
610917
616878
629533
636549
